,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
PIPOX,0.00043334567,2.0,0.00043334567,-0.013255305,-0.053531103
CADPS2,0.0,0.0,0.0,-0.02587115,0.21428101
RLF,0.0,0.0,0.0,-0.02587115,0.21428101
ATP1A4,0.019786282,18.0,0.019786282,0.55016017,-2.0077624
ATP1A3,-0.0006394694,18.0,-0.0006394694,-0.044487808,-2.2498264
ATP1A2,0.015185344,18.0,0.015185344,0.41621464,-2.062288
ATP1A1,-0.00052558543,18.0,-0.00052558543,-0.04117234,-2.2484767
CRTAP,0.0,0.0,0.0,-0.02587115,0.21428101
SPHK2,-0.00015269277,8.0,-0.00015269277,-0.030316442,-0.87931913
SPHK1,-0.0042924653,8.0,-0.0042924653,-0.15083624,-0.92837924
ADPGK,0.000377541,1.0,0.000377541,-0.014879927,0.08228139
CPEB4,0.00025762885,2.0,0.00025762885,-0.01837089,-0.055613507
CPEB1,-1.096208e-05,2.0,-1.096208e-05,-0.026190287,-0.05879656
CPEB3,0.00051142724,2.0,0.00051142724,-0.010982143,-0.052605763
CPEB2,-0.00016315118,2.0,-0.00016315118,-0.030620918,-0.060600135
BEGAIN,0.0,0.0,0.0,-0.02587115,0.21428101
SRBD1,0.0,0.0,0.0,-0.02587115,0.21428101
ABAT,0.0009960138,4.0,0.0009960138,0.0031254613,-0.31981063
HCAR1,9.947746e-05,1.0,9.947746e-05,-0.022975096,0.078986086
TP53TG5,0.0,0.0,0.0,-0.02587115,0.21428101
IFT80,0.0,0.0,0.0,-0.02587115,0.21428101
TP53TG1,0.0,0.0,0.0,-0.02587115,0.21428101
NPY6R,0.0,0.0,0.0,-0.02587115,0.21428101
POU5F1B,0.0,1.0,0.0,-0.02587115,0.07780718
XPA,0.0,1.0,0.0,-0.02587115,0.07780718
KISS1R,0.013320693,2.0,0.013320693,0.36192968,0.09919581
ATG4C,0.007769445,2.0,0.007769445,0.20031807,0.033408422
