,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
hsa00010,0.02242972,97.0,0.02242972,-0.20100676,-0.043990433
hsa00020,0.007873965,50.0,0.007873965,-0.28486252,0.47486892
hsa00030,0.0014802825,66.0,0.0014802825,-0.32169655,0.26253635
hsa00040,0.0027498766,92.0,0.0027498766,-0.3143824,-0.045827776
hsa00051,-0.0005239336,83.0,-0.0005239336,-0.3332428,0.05199781
hsa00052,0.0012854734,75.0,0.0012854734,-0.32281882,0.15379967
hsa00053,5.6481505e-05,87.0,5.6481505e-05,-0.32989904,0.0057685496
hsa00061,0.00046266735,75.0,0.00046266735,-0.32755902,0.15121141
hsa00062,0.0006447568,67.0,0.0006447568,-0.32650998,0.24789432
hsa00071,-0.0007497353,93.0,-0.0007497353,-0.33454368,-0.06885014
hsa00100,-0.00080654316,77.0,-0.00080654316,-0.33487093,0.12319139
hsa00120,-0.00054962485,64.0,-0.00054962485,-0.33339083,0.28017846
hsa00130,0.00011733004,82.0,0.00011733004,-0.32954848,0.06602877
hsa00140,0.086630024,160.0,0.086630024,0.16885139,-0.59890497
hsa00190,0.0071072592,122.0,0.0071072592,-0.28927952,-0.3925338
hsa00220,6.2839004e-05,45.0,6.2839004e-05,-0.32986242,0.51036656
hsa00230,0.7301561,222.0,0.7301561,3.876207,0.6805575
hsa00232,-0.00012283573,28.0,-0.00012283573,-0.33093208,0.7140165
hsa00240,0.00055625685,120.0,0.00055625685,-0.32701984,-0.3891135
hsa00250,0.0,1.0,0.0,-0.33022445,1.0387743
hsa00260,0.0,1.0,0.0,-0.33022445,1.0387743
hsa00270,0.020966807,114.0,0.020966807,-0.20943458,-0.25282624
hsa00280,0.0,1.0,0.0,-0.33022445,1.0387743
hsa00290,0.0,1.0,0.0,-0.33022445,1.0387743
hsa00310,0.0070869094,109.0,0.0070869094,-0.28939673,-0.23641887
hsa00330,0.0009363038,118.0,0.0009363038,-0.32483038,-0.3638905
hsa00340,-0.0011324432,68.0,-0.0011324432,-0.33674845,0.23029007
hsa00350,-0.0026244717,114.0,-0.0026244717,-0.34534404,-0.32703644
hsa00360,-0.00064949977,65.0,-0.00064949977,-0.33396623,0.26785052
hsa00380,-0.015444855,122.0,-0.015444855,-0.4192023,-0.46347514
hsa00400,0.0,1.0,0.0,-0.33022445,1.0387743
hsa00410,-0.0017706841,63.0,-0.0017706841,-0.34042534,0.28835115
hsa00430,-0.0005379023,40.0,-0.0005379023,-0.3333233,0.5685457
hsa00440,0.0032865857,61.0,0.0032865857,-0.3112904,0.32828715
hsa00450,0.0003590224,41.0,0.0003590224,-0.3281561,0.55935335
hsa00470,-0.00041833712,74.0,-0.00041833712,-0.33263448,0.16045383
hsa00480,0.020820204,95.0,0.020820204,-0.21027918,-0.025025902
hsa00500,0.0051805037,71.0,0.0051805037,-0.30037954,0.21410717
hsa00510,0.042532153,87.0,0.042532153,-0.08519658,0.13938268
hsa00511,0.0,17.0,0.0,-0.33022445,0.8465543
hsa00512,-6.808606e-05,51.0,-6.808606e-05,-0.33061668,0.43787214
hsa00513,-0.0008974049,68.0,-0.0008974049,-0.33539438,0.23102942
hsa00514,0.0,44.0,0.0,-0.33022445,0.5221827
hsa00515,-7.567192e-05,45.0,-7.567192e-05,-0.33066037,0.5099309
hsa00520,0.031320885,165.0,0.031320885,-0.14978473,-0.8329576
hsa00524,0.0,1.0,0.0,-0.33022445,1.0387743
hsa00531,-3.311787e-05,46.0,-3.311787e-05,-0.33041522,0.49805096
hsa00532,2.7459202e-05,33.0,2.7459202e-05,-0.33006626,0.6544205
hsa00533,0.0,14.0,0.0,-0.33022445,0.88259554
hsa00534,-9.846965e-05,35.0,-9.846965e-05,-0.33079174,0.62999684
hsa00561,0.0017274425,92.0,0.0017274425,-0.32027262,-0.04904401
hsa00562,-0.0030685156,120.0,-0.0030685156,-0.34790215,-0.4005158
hsa00563,-0.0011044716,45.0,-0.0011044716,-0.3365873,0.5066946
hsa00564,0.055122223,144.0,0.055122223,-0.01266515,-0.5057977
hsa00565,0.002181658,67.0,0.002181658,-0.31765592,0.25272885
hsa00590,0.033269636,137.0,0.033269636,-0.13855797,-0.49044222
hsa00591,0.0044913595,56.0,0.0044913595,-0.30434972,0.39214575
hsa00592,-0.00040196846,68.0,-0.00040196846,-0.33254018,0.2325879
hsa00600,0.042840432,77.0,0.042840432,-0.08342058,0.26049
hsa00601,0.004195991,81.0,0.004195991,-0.3060513,0.09087261
hsa00603,0.00039119253,38.0,0.00039119253,-0.32797077,0.5954958
hsa00604,0.00044996865,46.0,0.00044996865,-0.32763216,0.49957064
hsa00620,0.0006292745,79.0,0.0006292745,-0.32659918,0.10368044
hsa00630,0.006670071,93.0,0.006670071,-0.29179814,-0.04550992
hsa00640,0.0068820654,71.0,0.0068820654,-0.29057685,0.21945971
hsa00650,0.0030909579,73.0,0.0030909579,-0.31241742,0.18350664
hsa00670,0.00010489766,28.0,0.00010489766,-0.32962012,0.7147329
hsa00730,-0.00023771556,45.0,-0.00023771556,-0.3315939,0.50942117
hsa00740,3.0534804e-05,32.0,3.0534804e-05,-0.33004853,0.6664439
hsa00750,-5.021224e-05,35.0,-5.021224e-05,-0.33051372,0.6301486
hsa00760,0.014521049,89.0,0.014521049,-0.24656862,0.027241651
hsa00770,0.0030017914,51.0,0.0030017914,-0.31293112,0.44752893
hsa00780,-9.164597e-07,32.0,-9.164597e-07,-0.33022973,0.666345
hsa00785,8.601717e-05,17.0,8.601717e-05,-0.3297289,0.8468249
hsa00790,0.011974521,82.0,0.011974521,-0.2612392,0.10332749
hsa00830,0.005140129,91.0,0.005140129,-0.30061215,-0.026295092
hsa00860,0.0061314395,190.0,0.0061314395,-0.2949012,-1.2125393
hsa00900,0.0047024097,69.0,0.0047024097,-0.30313385,0.2366308
hsa00910,-0.0005089045,36.0,-0.0005089045,-0.33315623,0.616692
hsa00920,6.233759e-05,41.0,6.233759e-05,-0.3298653,0.55842006
hsa00970,0.009407735,78.0,0.009407735,-0.27602646,0.14330828
hsa00980,-0.0012223447,196.0,-0.0012223447,-0.3372664,-1.3077543
hsa00982,0.021607779,169.0,0.021607779,-0.20574196,-0.91156685
hsa00983,-0.0013271369,143.0,-0.0013271369,-0.3378701,-0.67135453
hsa01040,0.00097508525,101.0,0.00097508525,-0.32460698,-0.1595345
hsa01100,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01200,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01210,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01212,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01230,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01232,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01240,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01250,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01521,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01522,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01523,0.0,0.0,0.0,-0.33022445,1.0507883
hsa01524,0.0,0.0,0.0,-0.33022445,1.0507883
hsa02010,0.0010870721,184.0,0.0010870721,-0.3239618,-1.1563246
hsa03008,0.0,74.0,0.0,-0.33022445,0.16176978
