0,fanin,fanout,degree
C00001,14.0,1.0,15.0
C00002,22.0,1.0,23.0
C00003,10.0,1.0,11.0
C00004,4.0,1.0,5.0
C00005,6.0,1.0,7.0
C00006,8.0,1.0,9.0
C00007,7.0,1.0,8.0
C00008,13.0,1.0,14.0
C00009,5.0,1.0,6.0
C00010,7.0,1.0,8.0
C00011,12.0,1.0,13.0
C00012,2.0,1.0,3.0
C00013,3.0,1.0,4.0
C00014,9.0,1.0,10.0
C00015,2.0,1.0,3.0
C00016,2.0,1.0,3.0
C00017,2.0,1.0,3.0
C00018,3.0,1.0,4.0
C00019,4.0,1.0,5.0
C00020,18.0,1.0,19.0
C00021,2.0,1.0,3.0
C00022,27.0,1.0,28.0
C00023,1.0,1.0,2.0
C00024,28.0,1.0,29.0
C00025,36.0,1.0,37.0
C00026,16.0,1.0,17.0
C00027,31.0,1.0,32.0
C00029,6.0,1.0,7.0
C00031,23.0,1.0,24.0
C00032,4.0,1.0,5.0
C00033,11.0,1.0,12.0
C00034,2.0,1.0,3.0
C00035,5.0,1.0,6.0
C00036,8.0,1.0,9.0
C00037,16.0,1.0,17.0
C00038,3.0,1.0,4.0
C00039,8.0,1.0,9.0
C00040,9.0,1.0,10.0
C00041,10.0,1.0,11.0
C00042,15.0,1.0,16.0
C00043,3.0,1.0,4.0
C00044,8.0,1.0,9.0
C00046,5.0,1.0,6.0
C00047,6.0,1.0,7.0
C00048,4.0,1.0,5.0
C00049,12.0,1.0,13.0
C00051,8.0,1.0,9.0
C00052,2.0,1.0,3.0
C00053,4.0,1.0,5.0
C00054,5.0,1.0,6.0
C00055,1.0,1.0,2.0
C00058,4.0,1.0,5.0
C00059,4.0,1.0,5.0
C00061,3.0,1.0,4.0
C00062,12.0,1.0,13.0
C00063,2.0,1.0,3.0
C00064,15.0,1.0,16.0
C00065,12.0,1.0,13.0
C00068,6.0,1.0,7.0
C00070,6.0,1.0,7.0
C00071,1.0,1.0,2.0
C00072,4.0,1.0,5.0
C00073,6.0,1.0,7.0
C00074,7.0,1.0,8.0
C00075,2.0,1.0,3.0
C00076,119.0,1.0,120.0
C00077,5.0,1.0,6.0
C00078,7.0,1.0,8.0
C00079,7.0,1.0,8.0
C00080,23.0,1.0,24.0
C00081,1.0,1.0,2.0
C00082,14.0,1.0,15.0
C00083,10.0,1.0,11.0
C00084,10.0,1.0,11.0
C00085,7.0,1.0,8.0
C00086,7.0,1.0,8.0
C00087,1.0,1.0,2.0
C00088,2.0,1.0,3.0
C00089,5.0,1.0,6.0
C00091,5.0,1.0,6.0
C00092,9.0,1.0,10.0
C00093,4.0,1.0,5.0
C00094,3.0,1.0,4.0
C00095,8.0,1.0,9.0
C00096,4.0,1.0,5.0
C00097,12.0,1.0,13.0
C00098,1.0,1.0,2.0
C00099,6.0,1.0,7.0
C00100,3.0,1.0,4.0
C00101,3.0,1.0,4.0
C00103,7.0,1.0,8.0
