,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
SP3,mut_important,,,,,
SP3,cnv_del,,,,,
SP3,cnv_amp,,,,,
SP3,promoter,,,,,
SP4,mut_important,,,,,
SP4,cnv_del,,,,,
SP4,cnv_amp,,,,,
SP4,promoter,,,,,
SP5,mut_important,,,,,
SP5,cnv_del,,,,,
SP5,cnv_amp,,,,,
SP5,promoter,,,,,
SP6,mut_important,,,,,
SP6,cnv_del,,,,,
SP6,cnv_amp,,,,,
SP6,promoter,,,,,
SP7,mut_important,,,,,
SP7,cnv_del,,,,,
SP7,cnv_amp,,,,,
SP7,promoter,,,,,
SPPL3,mut_important,,,,,
SPPL3,cnv_del,,,,,
SPPL3,cnv_amp,,,,,
SPPL3,promoter,,,,,
GOLIM4,mut_important,,,,,
GOLIM4,cnv_del,,,,,
GOLIM4,cnv_amp,,,,,
GOLIM4,promoter,,,,,
OPA3,mut_important,,,,,
OPA3,cnv_del,,,,,
OPA3,cnv_amp,,,,,
OPA3,promoter,,,,,
OPA1,mut_important,,,,,
OPA1,cnv_del,,,,,
OPA1,cnv_amp,,,,,
OPA1,promoter,,,,,
RAB40C,mut_important,,,,,
RAB40C,cnv_del,,,,,
RAB40C,cnv_amp,,,,,
RAB40C,promoter,,,,,
RAB40B,mut_important,,,,,
RAB40B,cnv_del,,,,,
RAB40B,cnv_amp,,,,,
RAB40B,promoter,,,,,
RAB40A,mut_important,,,,,
RAB40A,cnv_del,,,,,
RAB40A,cnv_amp,,,,,
RAB40A,promoter,,,,,
KRTAP21-2,mut_important,,,,,
KRTAP21-2,cnv_del,,,,,
KRTAP21-2,cnv_amp,,,,,
KRTAP21-2,promoter,,,,,
FAM162B,mut_important,,,,,
FAM162B,cnv_del,,,,,
FAM162B,cnv_amp,,,,,
FAM162B,promoter,,,,,
COL7A1,mut_important,,,,,
COL7A1,cnv_del,,,,,
COL7A1,cnv_amp,,,,,
COL7A1,promoter,,,,,
MDP1,mut_important,,,,,
MDP1,cnv_del,,,,,
MDP1,cnv_amp,,,,,
MDP1,promoter,,,,,
FAM187B,mut_important,,,,,
FAM187B,cnv_del,,,,,
FAM187B,cnv_amp,,,,,
FAM187B,promoter,,,,,
KLLN,mut_important,,,,,
KLLN,cnv_del,,,,,
KLLN,cnv_amp,,,,,
KLLN,promoter,,,,,
FAM183A,mut_important,,,,,
FAM183A,cnv_del,,,,,
FAM183A,cnv_amp,,,,,
FAM183A,promoter,,,,,
OVCH2,mut_important,,,,,
OVCH2,cnv_del,,,,,
OVCH2,cnv_amp,,,,,
OVCH2,promoter,,,,,
OVCH1,mut_important,,,,,
OVCH1,cnv_del,,,,,
OVCH1,cnv_amp,,,,,
OVCH1,promoter,,,,,
PSAP,mut_important,,,,,
PSAP,cnv_del,,,,,
PSAP,cnv_amp,,,,,
PSAP,promoter,,,,,
SPPL2A,mut_important,,,,,
SPPL2A,cnv_del,,,,,
SPPL2A,cnv_amp,,,,,
SPPL2A,promoter,,,,,
