,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
C05981,6.235668700000001,73.0,0.08542012,2.6011086,33.66615,3.0
C00076,4.044688,120.0,0.033705734,0.9597694999999999,1.0986032,3.0
C00165,1.3086921999999999,76.0,0.017219635,0.43652472,9.891211,3.0
C00704,0.7501909999999999,17.0,0.7501909999999999,23.699966,2.3212972,3.0
C00039,0.73503363,9.0,0.73503363,23.218895,4.50206,3.0
C03917,0.6696006999999999,4.0,0.6696006999999999,21.142149,5.38017,3.0
C00735,0.5392216999999999,9.0,0.5392216999999999,17.004108,2.8054266,3.0
C00584,0.48632583,18.0,0.48632583,15.325272,0.2540029,3.0
C00149,0.41697848,10.0,0.41697848,13.124288,1.4572247,3.0
C00025,0.40247008,37.0,0.01087757,0.23523682,6.471806,3.0
