RERE
RNF165
PHF7
CIDEA
TENT2
SLC17A3
SDS
ATP6V1C2
F3
FAM71C
LIN52
PCOTH
GRM1
FXN
SLC9A1
PML
CD164
MOB3A
HGC6.1.1
OR1J2
GNG5
TAF15
EXTL3
CNPY3
FAM174C
LOC154449
GATD3A
P2RX1
LRR1
ATP1B2
UBLCP1
LOC649305
IFNL3
DES
HERC2P9
PRR16
HIPK2
SHMT2
MRPS5
SNORD36C
SPN
CHRNA6
TBC1D22A
RPL35
SSTR4
ST6GALNAC4
TM2D1
RASD2
UBE2DNL
TFAP2D
ITGA10
ETFRF1
PLPPR1
MARS2
MAGEC1
PDIA6
FLJ41130
CYP2B6
SLC25A25
FGFBP2
LRRC23
PNCK
RPS24
NRDE2
GLT8D2
IGM1
CRACR2B
REEP3
ECI2
BTBD3
RBM17
LINC01140
TRNAU1AP
IL21R
RASSF4
PCDHA9
PLXNB2
OR8H2
ANTXR2
GALK2
FAM90A13
MIEN1
TMEM59
BCAN
TXNDC11
DOCK2
ARFIP1
LARGE1
PDXDC2P
RBMY1F
SRF
SLITRK3
ACMSD
KRT8
H2BC18
ATG10
ADAMTS6
CREB3L2
PANX3
STATH
LINC00472
HERC2P7
CD52
ASB16-AS1
SLC6A17
ARPC5
GABRA2
AFAP1L1
YIPF1
ZNF385A
F11
DHX35
SUV39H1
FUBP1
H1-6
SLC7A1
PRDM4
KIAA1109
ZNF687-AS1
LOC142937
SEPTIN11
HAUS3
DPY19L2P2
MEIS2
MKI67
RNF157
CISD1
CCDC179
ZNF692
RIPPLY2
CHST6
CEBPB
MEFV
MRPL36
GRASP
TBC1D19
HIC1
RNF13
UBE2F
BRF2
MASTL
PRR30
LOC100130238
CLDN3
HDAC3
LYZL4
BIRC6
ZNF700
SLC29A2
TDRD12
C1orf194
SLC14A2
MUC3B
AKAP5
ANTXR1
SIX4
ZNF613
PSME4
BSG
HINT3
COMMD5
TEAD3
OR2G3
FOXN3-AS1
REP15
CDH16
TMEM65
FOXP4
VN1R1
OR4D9
HCFC1R1
TEKT5
DNAJC9
FAM69B
FHOD1
CMTM5
LINC00229
LINC00642
ADGRG7
ANO2
FLJ44313
ACKR1
ZNF318
RAB25
FAM83B
LRRC8C
ZFP62
DPPA4
C9orf38
GAGE8
DFFA
NDUFA3
GPR152
MRFAP1L1
EEPD1
ARSH
FANK1
EEF1E1
DPYSL4
KCNA6
ITPRIPL1
ZNF589
MDFIC
DUSP13
SCAMP2
TMEM237
SELENOH
RANBP6
DEFB136
OR2AE1
RAB6C
COPB2
ENO2
C12orf43
ZBTB2
INHBB
FAM149A
PM20D2
SLU7
BUD13
MAML2
MYH15
TAT
NECAB3
