,,root
ITGA5,mut_important,-7.139735e-07
ITGA5,cnv_del,0.25068355
ITGA5,cnv_amp,-0.42419952
ITGA5,promoter,0.28414997
ITGA6,mut_important,-2.2703429e-07
ITGA6,cnv_del,-0.21429256
ITGA6,cnv_amp,-0.42733783
ITGA6,promoter,-0.094776236
ITGA7,mut_important,-3.1470283e-06
ITGA7,cnv_del,0.26898175
ITGA7,cnv_amp,-0.15591769
ITGA7,promoter,0.20315516
TRHR,mut_important,3.4464442e-06
TRHR,cnv_del,0.30653343
TRHR,cnv_amp,-0.031709757
TRHR,promoter,1.24094015e-08
UFSP1,mut_important,2.2130873e-05
UFSP1,cnv_del,0.0020279866
UFSP1,cnv_amp,0.0018483083
UFSP1,promoter,-0.0014120701
UFSP2,mut_important,-4.0566715e-06
UFSP2,cnv_del,-0.017727261
UFSP2,cnv_amp,-0.007966139
UFSP2,promoter,2.2879549e-06
GAP43,mut_important,3.6939168e-06
GAP43,cnv_del,-0.0008512256
GAP43,cnv_amp,0.02370879
GAP43,promoter,-1.8104183e-06
FBXL13,mut_important,-1.1980702e-06
FBXL13,cnv_del,0.0074931057
FBXL13,cnv_amp,-0.0031467676
FBXL13,promoter,0.003970566
FBXL12,mut_important,3.5783876e-06
FBXL12,cnv_del,-0.015114496
FBXL12,cnv_amp,0.0077956375
FBXL12,promoter,-0.012013225
FBXL15,mut_important,-8.0721935e-07
FBXL15,cnv_del,-0.04197859
FBXL15,cnv_amp,-0.009640912
FBXL15,promoter,4.1347965e-07
FBXL14,mut_important,5.1448137e-06
FBXL14,cnv_del,-0.043403298
FBXL14,cnv_amp,-0.06664246
FBXL14,promoter,0.0023172868
FBXL17,mut_important,1.4332797e-06
FBXL17,cnv_del,0.0014199405
FBXL17,cnv_amp,-0.00043425188
FBXL17,promoter,-0.00015809071
FBXL16,mut_important,-1.8323874e-06
FBXL16,cnv_del,0.0038736938
FBXL16,cnv_amp,-0.00036116713
FBXL16,promoter,-0.0035489677
FAM169A,mut_important,-2.3851749e-06
FAM169A,cnv_del,-0.0034242861
FAM169A,cnv_amp,0.011683737
FAM169A,promoter,0.015034612
FAM169B,mut_important,-2.5263519e-06
FAM169B,cnv_del,0.022354383
FAM169B,cnv_amp,-0.002066897
FAM169B,promoter,-4.910962e-07
SDK1,mut_important,-4.082751e-06
SDK1,cnv_del,-0.019986883
SDK1,cnv_amp,-0.55000764
SDK1,promoter,0.22983351
SDK2,mut_important,-6.4293345e-06
SDK2,cnv_del,-0.029258024
SDK2,cnv_amp,-0.048791245
SDK2,promoter,-0.023984322
GRP,mut_important,3.1645186e-06
GRP,cnv_del,-0.12195359
GRP,cnv_amp,0.48430237
GRP,promoter,-0.019730099
THSD4,mut_important,-5.150322e-06
THSD4,cnv_del,0.0072644376
THSD4,cnv_amp,-0.0012656647
THSD4,promoter,-1.3404002e-07
THSD1,mut_important,-1.6384254e-06
THSD1,cnv_del,-0.00426593
THSD1,cnv_amp,0.020583954
THSD1,promoter,6.847223e-07
CHST9,mut_important,1.9028232e-07
CHST9,cnv_del,-0.086399525
CHST9,cnv_amp,-0.0052539883
CHST9,promoter,1.1723448e-06
CHST8,mut_important,1.9375925e-06
CHST8,cnv_del,0.10468071
CHST8,cnv_amp,0.22135682
CHST8,promoter,0.44176096
HMGB3P1,mut_important,9.892906e-07
HMGB3P1,cnv_del,-0.027297568
HMGB3P1,cnv_amp,-0.021375842
HMGB3P1,promoter,9.942754e-07
CHST1,mut_important,1.6908248e-06
CHST1,cnv_del,-0.0068872524
CHST1,cnv_amp,0.006491634
CHST1,promoter,-0.019761402
CHST3,mut_important,-5.8650166e-06
CHST3,cnv_del,0.020496719
CHST3,cnv_amp,0.007171072
CHST3,promoter,0.011169109
CHST2,mut_important,1.06186e-06
CHST2,cnv_del,0.0034134847
CHST2,cnv_amp,0.002256822
CHST2,promoter,-0.0150898835
CHST5,mut_important,2.227444e-06
CHST5,cnv_del,-0.013791101
CHST5,cnv_amp,0.0026582442
CHST5,promoter,5.3514686e-06
CHST4,mut_important,4.031417e-07
CHST4,cnv_del,0.056497242
CHST4,cnv_amp,0.0032224883
CHST4,promoter,2.6833823e-06
CHST7,mut_important,-6.632329e-07
CHST7,cnv_del,0.0924336
CHST7,cnv_amp,-0.020534078
CHST7,promoter,0.008194368
CHST6,mut_important,2.4713217e-06
CHST6,cnv_del,-0.00023439538
CHST6,cnv_amp,1.0648277e-05
CHST6,promoter,-0.008963116
ITGAX,mut_important,-2.6822931e-06
ITGAX,cnv_del,-0.05082748
ITGAX,cnv_amp,0.1068512
ITGAX,promoter,-3.0112794e-06
BCL2A1,mut_important,-4.270447e-06
BCL2A1,cnv_del,-0.017279081
BCL2A1,cnv_amp,-0.07966707
BCL2A1,promoter,2.1510175e-06
ITGAV,mut_important,-2.4590975e-06
ITGAV,cnv_del,-0.29270545
ITGAV,cnv_amp,-0.08827007
ITGAV,promoter,0.17271118
CAMK1,mut_important,2.5217785e-06
CAMK1,cnv_del,0.04924884
CAMK1,cnv_amp,-0.16899626
CAMK1,promoter,-0.057940304
ITGAL,mut_important,-9.0819583e-07
ITGAL,cnv_del,0.007495937
ITGAL,cnv_amp,-0.03171011
ITGAL,promoter,4.9826417e-06
ITGAM,mut_important,7.8011435e-06
ITGAM,cnv_del,-0.10651279
ITGAM,cnv_amp,0.2672407
ITGAM,promoter,4.8629187e-07
ITGAD,mut_important,-3.6452786e-06
ITGAD,cnv_del,-0.054988172
ITGAD,cnv_amp,0.18158747
ITGAD,promoter,-3.4739573e-06
COPRS,mut_important,-5.390207e-07
COPRS,cnv_del,-6.210522e-05
COPRS,cnv_amp,-0.020904457
COPRS,promoter,1.2517335e-06
AFTPH,mut_important,2.5580832e-06
AFTPH,cnv_del,-0.04814331
AFTPH,cnv_amp,-0.0014411125
AFTPH,promoter,0.011496246
CAMK4,mut_important,4.003565e-06
CAMK4,cnv_del,-0.14467207
CAMK4,cnv_amp,0.0007275778
CAMK4,promoter,0.03770665
IGF2R,mut_important,3.3585002e-06
IGF2R,cnv_del,0.43870917
IGF2R,cnv_amp,-0.07280029
IGF2R,promoter,0.24635588
SLC36A4,mut_important,6.489443e-06
SLC36A4,cnv_del,0.027047332
SLC36A4,cnv_amp,-0.01621152
SLC36A4,promoter,-0.038675733
SLC36A3,mut_important,3.819699e-06
SLC36A3,cnv_del,0.11931057
SLC36A3,cnv_amp,-0.1145765
SLC36A3,promoter,3.5019848e-06
SLC36A2,mut_important,-1.0701532e-06
SLC36A2,cnv_del,0.06395091
SLC36A2,cnv_amp,-0.044005238
SLC36A2,promoter,3.0056303e-06
SLC36A1,mut_important,-1.9722934e-06
SLC36A1,cnv_del,-4.1901134e-05
SLC36A1,cnv_amp,-0.032437883
SLC36A1,promoter,0.0035940232
ZC3H15,mut_important,2.2768272e-06
ZC3H15,cnv_del,-0.0035949894
ZC3H15,cnv_amp,0.0068806144
ZC3H15,promoter,-0.0048097055
ARTN,mut_important,1.2923545e-06
ARTN,cnv_del,-0.00920664
ARTN,cnv_amp,-0.006843469
ARTN,promoter,1.3637597e-07
ART1,mut_important,3.475083e-06
ART1,cnv_del,0.004187406
ART1,cnv_amp,0.0020639994
ART1,promoter,2.4002916e-06
ART3,mut_important,1.500892e-06
ART3,cnv_del,0.007295373
ART3,cnv_amp,0.007851526
ART3,promoter,1.1624634e-06
ART5,mut_important,-5.845928e-08
ART5,cnv_del,-0.012778827
ART5,cnv_amp,-0.006933031
ART5,promoter,-0.009904635
ART4,mut_important,-6.6327602e-06
ART4,cnv_del,0.008201746
ART4,cnv_amp,-0.004825777
ART4,promoter,-1.2857565e-06
HMGCLL1,mut_important,-2.2603233e-06
HMGCLL1,cnv_del,-0.13620284
HMGCLL1,cnv_amp,0.049345717
HMGCLL1,promoter,3.894012e-06
MGC57346,mut_important,-4.730218e-06
MGC57346,cnv_del,-1.3941606e-06
MGC57346,cnv_amp,-4.249657e-06
MGC57346,promoter,-0.0058731856
RFPL1,mut_important,2.1777773e-06
RFPL1,cnv_del,0.017135713
RFPL1,cnv_amp,0.024476957
RFPL1,promoter,1.27734e-06
CRTAM,mut_important,-5.1241545e-06
CRTAM,cnv_del,-0.003285382
CRTAM,cnv_amp,0.00057712215
CRTAM,promoter,-9.863686e-08
PIPOX,mut_important,2.3694415e-06
PIPOX,cnv_del,-0.11799718
PIPOX,cnv_amp,-0.12228447
PIPOX,promoter,7.838326e-06
CADPS2,mut_important,-2.854093e-06
CADPS2,cnv_del,0.03942351
CADPS2,cnv_amp,0.03719513
CADPS2,promoter,0.023524169
RLF,mut_important,5.8241717e-06
RLF,cnv_del,-0.0016253726
RLF,cnv_amp,-0.0009850686
RLF,promoter,-1.5618105e-05
ATP1A4,mut_important,-1.4780055e-06
ATP1A4,cnv_del,-0.13420874
ATP1A4,cnv_amp,0.17385943
ATP1A4,promoter,8.6055195e-07
ATP1A3,mut_important,-1.7892287e-06
ATP1A3,cnv_del,0.020954985
ATP1A3,cnv_amp,-0.03731456
ATP1A3,promoter,0.09603261
ATP1A2,mut_important,-5.862081e-06
ATP1A2,cnv_del,0.072184294
ATP1A2,cnv_amp,-0.1690517
ATP1A2,promoter,-4.492047e-06
ATP1A1,mut_important,1.0518957e-06
ATP1A1,cnv_del,0.004610347
ATP1A1,cnv_amp,0.018624153
ATP1A1,promoter,0.21126899
CRTAP,mut_important,6.672592e-06
CRTAP,cnv_del,0.006704541
CRTAP,cnv_amp,0.00955631
CRTAP,promoter,0.0010007586
SPHK2,mut_important,-3.9446013e-06
SPHK2,cnv_del,0.01156637
SPHK2,cnv_amp,0.018724767
SPHK2,promoter,-0.004202043
SPHK1,mut_important,9.99378e-07
SPHK1,cnv_del,0.067511834
SPHK1,cnv_amp,0.12182096
SPHK1,promoter,0.023457533
ADPGK,mut_important,-2.719691e-06
ADPGK,cnv_del,0.05714289
ADPGK,cnv_amp,0.029274456
ADPGK,promoter,-0.06224539
CPEB4,mut_important,1.5740317e-06
CPEB4,cnv_del,0.0073381662
CPEB4,cnv_amp,0.11234248
CPEB4,promoter,-0.011207245
CPEB1,mut_important,-4.188255e-06
CPEB1,cnv_del,-0.023231668
CPEB1,cnv_amp,0.00058086624
CPEB1,promoter,0.0249985
CPEB3,mut_important,1.8279559e-06
CPEB3,cnv_del,-0.12133604
CPEB3,cnv_amp,-0.11987894
CPEB3,promoter,-0.08131372
CPEB2,mut_important,3.522024e-06
CPEB2,cnv_del,-0.08285459
CPEB2,cnv_amp,0.06012808
CPEB2,promoter,-0.024202906
BEGAIN,mut_important,-6.2878405e-07
BEGAIN,cnv_del,-0.0016652498
BEGAIN,cnv_amp,0.0131423
BEGAIN,promoter,0.0044088536
SRBD1,mut_important,5.709424e-06
SRBD1,cnv_del,-0.023236314
SRBD1,cnv_amp,0.0028006556
SRBD1,promoter,0.01908527
ABAT,mut_important,3.3042368e-06
ABAT,cnv_del,0.01860861
ABAT,cnv_amp,0.20346563
ABAT,promoter,-0.12891075
HCAR1,mut_important,4.9093237e-06
HCAR1,cnv_del,-0.15923853
HCAR1,cnv_amp,-0.039777283
HCAR1,promoter,0.09291389
TP53TG5,mut_important,-7.374854e-07
TP53TG5,cnv_del,0.00372695
TP53TG5,cnv_amp,0.012397751
TP53TG5,promoter,-8.2735926e-07
IFT80,mut_important,-5.4140114e-06
IFT80,cnv_del,-0.00022204185
IFT80,cnv_amp,-0.0036916262
IFT80,promoter,0.00014073579
TP53TG1,mut_important,-3.8122644e-06
TP53TG1,cnv_del,-0.0030622468
TP53TG1,cnv_amp,0.001962401
TP53TG1,promoter,-0.000105616346
NPY6R,mut_important,2.7356145e-06
NPY6R,cnv_del,-0.0005187887
NPY6R,cnv_amp,-0.0002084827
NPY6R,promoter,7.551684e-07
POU5F1B,mut_important,-2.2260292e-06
POU5F1B,cnv_del,-0.0001937879
POU5F1B,cnv_amp,-0.0057991124
POU5F1B,promoter,-9.304896e-07
XPA,mut_important,1.7107008e-06
XPA,cnv_del,-0.016437922
XPA,cnv_amp,-0.012752767
XPA,promoter,-0.00097593036
KISS1R,mut_important,1.9401316e-06
KISS1R,cnv_del,-0.043608554
KISS1R,cnv_amp,-0.37404287
KISS1R,promoter,-0.12833513
ATG4C,mut_important,-1.2567559e-06
ATG4C,cnv_del,0.21918277
ATG4C,cnv_amp,0.4024357
ATG4C,promoter,0.13547269
ATG4B,mut_important,3.808435e-06
ATG4B,cnv_del,0.006026368
ATG4B,cnv_amp,0.005728014
ATG4B,promoter,0.0029470716
ATG4A,mut_important,2.7874203e-06
ATG4A,cnv_del,0.15154469
ATG4A,cnv_amp,-0.15883148
ATG4A,promoter,0.020835362
ATG4D,mut_important,-2.7078804e-06
ATG4D,cnv_del,0.044810515
ATG4D,cnv_amp,0.062643416
ATG4D,promoter,0.028277371
PHOX2A,mut_important,2.1505173e-06
PHOX2A,cnv_del,0.0052337525
PHOX2A,cnv_amp,0.03519259
PHOX2A,promoter,0.017323162
PHOX2B,mut_important,4.891e-07
PHOX2B,cnv_del,0.014446299
PHOX2B,cnv_amp,0.021662652
PHOX2B,promoter,-1.1101654e-06
UPK2,mut_important,-2.754242e-06
UPK2,cnv_del,-0.052667264
UPK2,cnv_amp,-0.011797999
UPK2,promoter,-2.286208e-06
CFH,mut_important,2.886126e-06
CFH,cnv_del,-0.14503947
CFH,cnv_amp,-0.14223003
CFH,promoter,-6.7601673e-06
GPT2,mut_important,9.37361e-07
GPT2,cnv_del,0.08933509
GPT2,cnv_amp,-0.054786026
GPT2,promoter,0.006848213
CFD,mut_important,5.0974413e-06
CFD,cnv_del,-0.032475296
CFD,cnv_amp,0.22605222
CFD,promoter,9.0802376e-07
CFB,mut_important,-3.8063727e-06
CFB,cnv_del,-0.05108401
CFB,cnv_amp,-0.26165557
CFB,promoter,0.41258472
CFP,mut_important,1.5163881e-06
CFP,cnv_del,-0.074676774
CFP,cnv_amp,-0.06282906
CFP,promoter,3.7745474e-07
AAAS,mut_important,1.8262372e-07
AAAS,cnv_del,0.056043994
AAAS,cnv_amp,-0.025186382
AAAS,promoter,6.7483925e-05
SIDT1,mut_important,1.4614164e-07
SIDT1,cnv_del,0.005787057
SIDT1,cnv_amp,-0.0053957845
SIDT1,promoter,1.5438881e-06
SIDT2,mut_important,4.0160894e-06
SIDT2,cnv_del,0.0016282436
SIDT2,cnv_amp,-0.0031090688
SIDT2,promoter,0.005542715
CDH24,mut_important,5.6920685e-06
CDH24,cnv_del,0.014306177
CDH24,cnv_amp,0.0129504725
CDH24,promoter,0.0041879937
SAGE1,mut_important,-1.9365646e-06
SAGE1,cnv_del,-0.007815029
SAGE1,cnv_amp,-0.0051865145
SAGE1,promoter,-0.006217161
NAALAD2,mut_important,-1.0422325e-06
NAALAD2,cnv_del,0.0051237266
NAALAD2,cnv_amp,-0.006893555
NAALAD2,promoter,-3.9960323e-06
HMG20A,mut_important,-1.1762413e-06
HMG20A,cnv_del,0.023096967
HMG20A,cnv_amp,0.017240262
HMG20A,promoter,0.0045521907
HMG20B,mut_important,8.833719e-07
HMG20B,cnv_del,0.013914279
HMG20B,cnv_amp,-0.0015505815
HMG20B,promoter,-0.00017089973
C4orf19,mut_important,2.1735946e-06
C4orf19,cnv_del,-0.015902651
C4orf19,cnv_amp,-0.0007840393
C4orf19,promoter,0.0010475618
C4orf17,mut_important,7.749122e-06
C4orf17,cnv_del,-0.004384923
C4orf17,cnv_amp,0.008111726
C4orf17,promoter,-5.4914276e-06
CREB1,mut_important,4.2975472e-07
CREB1,cnv_del,0.10609909
CREB1,cnv_amp,0.01675094
CREB1,promoter,0.052602716
ZFP82,mut_important,-7.5385115e-06
ZFP82,cnv_del,0.020649793
ZFP82,cnv_amp,0.040859196
ZFP82,promoter,0.02684386
NBEAP1,mut_important,-2.8600246e-07
NBEAP1,cnv_del,-0.0965104
NBEAP1,cnv_amp,-0.018693415
NBEAP1,promoter,-2.3917123e-06
INGX,mut_important,-1.922588e-06
INGX,cnv_del,-0.0018765633
INGX,cnv_amp,-0.005912124
INGX,promoter,-0.0152872
NRXN3,mut_important,-9.403268e-07
NRXN3,cnv_del,0.015471182
NRXN3,cnv_amp,-0.0002115276
NRXN3,promoter,-0.019696103
NRXN2,mut_important,2.7009912e-06
NRXN2,cnv_del,0.01659934
NRXN2,cnv_amp,0.0012462336
NRXN2,promoter,0.0016756472
NRXN1,mut_important,-5.89907e-06
NRXN1,cnv_del,-0.0074733137
NRXN1,cnv_amp,0.062567234
NRXN1,promoter,-4.210998e-06
ABCE1,mut_important,-5.7929774e-06
ABCE1,cnv_del,-0.04677584
ABCE1,cnv_amp,-0.017710349
ABCE1,promoter,-0.012630244
MSL3P1,mut_important,-4.715215e-06
MSL3P1,cnv_del,0.02697808
MSL3P1,cnv_amp,0.018038189
MSL3P1,promoter,-3.5027058e-06
DPYSL4,mut_important,4.4758003e-06
DPYSL4,cnv_del,-0.0034916296
DPYSL4,cnv_amp,0.0015030177
DPYSL4,promoter,-0.0010456977
DPYSL5,mut_important,1.9243676e-06
DPYSL5,cnv_del,-0.038698055
DPYSL5,cnv_amp,-0.033675577
DPYSL5,promoter,-0.029867277
DPYSL2,mut_important,2.081241e-06
DPYSL2,cnv_del,-0.05668347
DPYSL2,cnv_amp,-0.08367827
DPYSL2,promoter,-0.075213276
DPYSL3,mut_important,6.9247875e-07
DPYSL3,cnv_del,0.006502228
DPYSL3,cnv_amp,0.011045779
DPYSL3,promoter,0.0029219533
OR4D9,mut_important,-1.7163895e-06
OR4D9,cnv_del,0.001223407
OR4D9,cnv_amp,0.012985246
OR4D9,promoter,-3.128254e-06
GPR17,mut_important,-1.9027536e-06
GPR17,cnv_del,-0.050538845
GPR17,cnv_amp,0.011330131
GPR17,promoter,-4.323196e-06
ZNF117,mut_important,-6.680986e-06
ZNF117,cnv_del,-0.00669804
ZNF117,cnv_amp,0.008145088
ZNF117,promoter,-2.573399e-06
ZNF114,mut_important,-9.4764135e-07
ZNF114,cnv_del,0.014499937
ZNF114,cnv_amp,0.083049946
ZNF114,promoter,-3.270529e-06
ZNF112,mut_important,-3.0259012e-06
ZNF112,cnv_del,-0.04350781
ZNF112,cnv_amp,0.046434112
ZNF112,promoter,-0.073767364
SEZ6L,mut_important,-5.264543e-06
SEZ6L,cnv_del,-0.0044589113
SEZ6L,cnv_amp,0.013354413
SEZ6L,promoter,0.041943688
TMC4,mut_important,-8.639978e-07
TMC4,cnv_del,-0.011941792
TMC4,cnv_amp,-0.008849132
TMC4,promoter,-0.0012766018
TMC5,mut_important,-1.3754965e-06
TMC5,cnv_del,0.026276173
TMC5,cnv_amp,0.0020631244
TMC5,promoter,0.043403983
TMC6,mut_important,6.3225943e-06
TMC6,cnv_del,0.024813626
TMC6,cnv_amp,-0.02839008
TMC6,promoter,-0.07308022
TMC7,mut_important,-2.7945975e-06
TMC7,cnv_del,0.006607398
TMC7,cnv_amp,0.015171002
TMC7,promoter,0.0020772973
APIP,mut_important,-1.5444223e-07
APIP,cnv_del,-0.1146449
APIP,cnv_amp,-0.17757232
APIP,promoter,-0.081850134
TMC1,mut_important,5.8425503e-06
TMC1,cnv_del,0.031181885
TMC1,cnv_amp,0.013385621
TMC1,promoter,-8.547204e-09
TMC2,mut_important,-2.5508414e-06
TMC2,cnv_del,0.015590341
TMC2,cnv_amp,0.0024023824
TMC2,promoter,1.0593786e-06
TMC3,mut_important,1.0490925e-07
TMC3,cnv_del,0.02035034
TMC3,cnv_amp,0.016411824
TMC3,promoter,0.0067576664
TMC8,mut_important,-4.0103773e-06
TMC8,cnv_del,-0.014095569
TMC8,cnv_amp,0.03271706
TMC8,promoter,-2.8891327e-06
PRKAR2A,mut_important,-6.7216574e-06
PRKAR2A,cnv_del,0.047057923
PRKAR2A,cnv_amp,-0.17990564
PRKAR2A,promoter,0.14108805
PRKAR2B,mut_important,7.790258e-06
PRKAR2B,cnv_del,-0.044145335
PRKAR2B,cnv_amp,-0.012422558
PRKAR2B,promoter,-0.013054199
MAGT1,mut_important,2.311409e-06
MAGT1,cnv_del,-0.011607149
MAGT1,cnv_amp,-0.012733432
MAGT1,promoter,-0.03256638
S1PR4,mut_important,6.5529434e-08
S1PR4,cnv_del,-0.051708568
S1PR4,cnv_amp,0.15515442
S1PR4,promoter,-0.25898296
MLF1,mut_important,-6.4509977e-06
MLF1,cnv_del,0.0053087724
MLF1,cnv_amp,0.009760332
MLF1,promoter,-0.002345852
RSPH9,mut_important,-5.0587983e-06
RSPH9,cnv_del,0.010522876
RSPH9,cnv_amp,-0.006732382
RSPH9,promoter,2.706473e-06
FANCF,mut_important,-1.2694744e-07
FANCF,cnv_del,0.0013970828
FANCF,cnv_amp,0.014466545
FANCF,promoter,3.36386e-06
RSPH3,mut_important,2.593028e-06
RSPH3,cnv_del,-0.0025597375
RSPH3,cnv_amp,0.008525955
RSPH3,promoter,0.0035910695
RSPH1,mut_important,3.067439e-06
RSPH1,cnv_del,0.0075277146
RSPH1,cnv_amp,0.020600464
RSPH1,promoter,0.009796897
CEPT1,mut_important,-2.8937272e-06
CEPT1,cnv_del,0.025067333
CEPT1,cnv_amp,0.12632707
CEPT1,promoter,-0.051313903
PHACTR4,mut_important,-2.8125226e-07
PHACTR4,cnv_del,0.004099779
PHACTR4,cnv_amp,-0.0013911785
PHACTR4,promoter,-1.40227e-07
NLGN2,mut_important,3.4108922e-07
NLGN2,cnv_del,0.04785914
NLGN2,cnv_amp,0.037706856
