,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
C00099,-0.0020658404,7.0,-0.0020658404,-0.17556816,-1.3065946
C00100,0.00033306633,4.0,0.00033306633,-0.09943037,-0.41877317
C00101,1.8237342e-05,4.0,1.8237342e-05,-0.10942258,-0.42150104
C00103,6.8888585e-05,8.0,6.8888585e-05,-0.10781499,-1.5771099
C00104,0.009926294,2.0,0.009926294,0.2050447,0.24237226
C00105,3.7514852e-07,2.0,3.7514852e-07,-0.10998951,0.15636806
C00106,0.00042248442,4.0,0.00042248442,-0.09659237,-0.4179984
C00107,-1.8956106e-06,2.0,-1.8956106e-06,-0.11006158,0.15634838
C00108,-0.00017355703,2.0,-0.00017355703,-0.11550986,0.15486099
C00109,-4.1894864e-06,3.0,-4.1894864e-06,-0.11013438,-0.13268343
C00110,-4.6120793e-05,2.0,-4.6120793e-05,-0.111465216,0.15596518
C00111,0.0029628829,11.0,0.0029628829,-0.015963824,-2.41907
C00112,-1.8850372e-06,2.0,-1.8850372e-06,-0.110061236,0.15634848
C00114,-0.00082368613,6.0,-0.00082368613,-0.136144,-1.0068197
C00116,4.439114e-05,8.0,4.439114e-05,-0.1085925,-1.5773222
C00117,0.015439152,6.0,0.015439152,0.38001478,-0.8659087
C00118,0.0009697208,10.0,0.0009697208,-0.079223886,-2.1473284
C00119,-1.1296477e-05,6.0,-1.1296477e-05,-0.110359944,-0.9997807
C00120,-6.3627117e-06,4.0,-6.3627117e-06,-0.110203356,-0.4217142
C00121,-2.9221716e-05,3.0,-2.9221716e-05,-0.11092886,-0.13290031
C00122,0.21591213,13.0,0.21591213,6.7427354,-1.1519724
C00123,0.23865777,8.0,0.23865777,7.4646487,0.49016932
C00124,-0.0005983013,4.0,-0.0005983013,-0.12899062,-0.4268431
C00127,0.001306301,6.0,0.001306301,-0.06854132,-0.9883643
C00128,0.0005933795,2.0,0.0005933795,-0.0911684,0.1615062
C00129,-0.00024866225,3.0,-0.00024866225,-0.117893584,-0.13480169
C00130,-0.00027053256,3.0,-0.00027053256,-0.11858772,-0.13499118
C00131,-0.0022904633,2.0,-0.0022904633,-0.18269737,0.13651884
C00132,1.2744605e-05,2.0,1.2744605e-05,-0.109596916,0.15647523
