,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
GAGE12I,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAGE2B,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAK,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAL,-0.07208784,1.0,-0.07208784,-2.1245399,-0.7764999,1
GAL3ST1,-2.3078152e-07,2.0,-2.3078152e-07,-0.02587787,-0.05866938,1
GAL3ST2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAL3ST3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAL3ST4,0.0,0.0,0.0,-0.02587115,0.21428101,1
GALC,-5.3350606e-05,2.0,-5.3350606e-05,-0.027424328,-0.0592989,1
GALE,-6.381967e-05,2.0,-6.381967e-05,-0.027729113,-0.059422966,1
GALK1,-0.0005798111,2.0,-0.0005798111,-0.042750996,-0.06553794,1
GALK2,0.0025038125,1.0,0.0025038125,0.047021497,0.10747967,1
GALM,0.0004823269,2.0,0.0004823269,-0.011829331,-0.052950628,1
GALNS,0.00012997103,2.0,0.00012997103,-0.022087349,-0.05712637,1
GALNT1,-1.5897822e-07,2.0,-1.5897822e-07,-0.025875779,-0.05866853,1
GALNT10,-1.139882e-06,2.0,-1.139882e-06,-0.025904335,-0.058680154,1
GALNT11,1.6750674e-07,2.0,1.6750674e-07,-0.025866274,-0.05866466,1
GALNT12,-2.8261877e-06,2.0,-2.8261877e-06,-0.025953429,-0.058700137,1
GALNT13,-9.931525e-07,2.0,-9.931525e-07,-0.025900064,-0.058678415,1
GALNT14,-1.4207359e-08,2.0,-1.4207359e-08,-0.025871564,-0.05866681,1
GALNT15,8.6434926e-07,2.0,8.6434926e-07,-0.025845988,-0.0586564,1
GALNT16,-2.0960807e-07,2.0,-2.0960807e-07,-0.025877252,-0.058669128,1
GALNT18,-9.5089047e-07,2.0,-9.5089047e-07,-0.025898833,-0.05867791,1
GALNT2,5.4258146e-07,2.0,5.4258146e-07,-0.025855355,-0.058660213,1
GALNT3,-1.5649385e-07,2.0,-1.5649385e-07,-0.025875708,-0.058668498,1
GALNT4,-2.425815e-06,2.0,-2.425815e-06,-0.025941772,-0.058695395,1
GALNT5,-1.3062149e-07,2.0,-1.3062149e-07,-0.025874954,-0.058668192,1
GALNT6,-8.8251184e-08,2.0,-8.8251184e-08,-0.025873719,-0.058667693,1
GALNT7,8.524305e-10,2.0,8.524305e-10,-0.025871126,-0.058666635,1
GALNT8,-1.7555964e-06,2.0,-1.7555964e-06,-0.025922261,-0.058687452,1
GALNT9,-2.5129236e-06,2.0,-2.5129236e-06,-0.02594431,-0.058696426,1
GALNTL5,2.2152992e-07,2.0,2.2152992e-07,-0.025864702,-0.05866402,1
GALNTL6,-9.596737e-07,2.0,-9.596737e-07,-0.02589909,-0.05867802,1
GALP,-6.892925e-05,1.0,-6.892925e-05,-0.027877863,0.07699031,1
GALR1,0.00012003014,1.0,0.00012003014,-0.022376753,0.079229645,1
GALR2,0.00020367285,1.0,0.00020367285,-0.019941691,0.08022089,1
GALR3,-0.00016112838,1.0,-0.00016112838,-0.030562028,0.075897664,1
GALT,-0.00022786541,3.0,-0.00022786541,-0.032504916,-0.19784091,1
GAMT,-0.00012312169,1.0,-0.00012312169,-0.029455552,0.07634808,1
GANAB,-0.0034239308,2.0,-0.0034239308,-0.12555088,-0.099243365,1
GANC,0.00021183203,2.0,0.00021183203,-0.019704156,-0.056156244,1
GAP43,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAPDH,0.009052087,6.0,0.009052087,0.2376592,-0.4972864,1
GAPDHS,9.309677e-06,1.0,9.309677e-06,-0.02560012,0.07791751,1
GAPT,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAPVD1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAR1,0.0,1.0,0.0,-0.02587115,0.07780718,1
GARNL3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GART,0.00020533404,2.0,0.00020533404,-0.01989333,-0.05623325,1
GAS1,-6.108782e-08,1.0,-6.108782e-08,-0.025872929,0.07780646,1
GAS2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAS2L1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAS2L2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAS2L3,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAS6,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAS7,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAS8,0.0,0.0,0.0,-0.02587115,0.21428101,1
GAST,-3.5570338e-07,1.0,-3.5570338e-07,-0.025881507,0.07780296,1
GATA1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATA2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATA3,-0.007997429,3.0,-0.007997429,-0.2586976,-0.28991738,1
GATA3-AS1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATA4,-0.13540514,4.0,-0.13540514,-3.9678752,-1.9362895,1
GATA5,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATA6,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATAD1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATAD2A,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATAD2B,0.0,0.0,0.0,-0.02587115,0.21428101,1
GATB,-1.4264891e-07,1.0,-1.4264891e-07,-0.025875304,0.0778055,1
GATC,-5.356853e-06,1.0,-5.356853e-06,-0.026027102,0.0777437,1
GATM,0.0007308009,1.0,0.0007308009,-0.0045955908,0.08646785,1
GBA,0.0,0.0,0.0,-0.02587115,0.21428101,1
GBA1,-1.3714847e-06,3.0,-1.3714847e-06,-0.025911078,-0.19515675,1
GBA2,-2.9479082e-08,2.0,-2.9479082e-08,-0.025872009,-0.058666997,1
GBA3,8.404302e-05,1.0,8.404302e-05,-0.023424435,0.07880317,1
GBE1,0.00070636073,1.0,0.00070636073,-0.005307109,0.086178206,1
GBF1,1.4620671e-06,1.0,1.4620671e-06,-0.025828587,0.07782451,1
GBGT1,2.2982245e-05,1.0,2.2982245e-05,-0.025202077,0.078079544,1
GBP1,4.8019967e-05,1.0,4.8019967e-05,-0.02447316,0.07837626,1
GBP2,8.623371e-05,1.0,8.623371e-05,-0.023360658,0.07882913,1
GBP3,0.00036403828,1.0,0.00036403828,-0.015273027,0.08212137,1
GBP4,0.00012796093,1.0,0.00012796093,-0.022145867,0.07932364,1
GBP5,0.0008486026,1.0,0.0008486026,-0.0011660693,0.08786391,1
GBP6,0.0,0.0,0.0,-0.02587115,0.21428101,1
GBP7,5.8969563e-05,1.0,5.8969563e-05,-0.024154391,0.07850602,1
GBX2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GC,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCA,0.0,0.0,0.0,-0.02587115,0.21428101,1
