genes
UBE2Q1
UBE2Q2
BC029916
REM1
REM2
RTN4RL2
RPEL1
UCHL5
ATRX
RNF10
ASS1
SPX
ZNF879
ZNF878
ZNF875
SPR
C6orf141
SPN
RBMY1A3P
SP8
TCOF1
NSRP1
SP1
SP2
PNMT
SP4
SP5
SP6
SP7
SPPL3
GOLIM4
RNU5B-1
OPA1
SLC66A1
SLC66A2
SLC66A3
KLLN
OVCH2
OVCH1
SPPL2A
SPPL2C
SPPL2B
AK097607
ITGA8
ITGA9
UGCG
ATP2A1
ATP2A2
ATP2A3
ITGA1
ITGA2
ITGA3
ITGA4
ITGA5
ITGA6
ITGA7
TRHR
UFSP1
UFSP2
GAP43
FBXL13
FBXL12
FBXL15
CYP27B1
FBXL17
FBXL16
FBXL19
FAM169B
DNAH10OS
SDK1
SDK2
GRP
THSD4
HPCAL4
THSD1
CHST9
CHST8
HMGB3P1
CHST1
CHST3
CHST2
CHST5
CHST4
CHST7
CHST6
ITGAX
LINC02740
BCL2A1
MTFR1
ITGAV
ZNF703
ITGAL
ITGAM
ITGAD
ITGAE
AFTPH
ZNF706
IGF2R
SLC36A4
SLC36A3
SLC36A2
SLC36A1
RNF112
LOC729264
AK094188
ARTN
ART1
ART3
ART5
ART4
RNF111
MGC57346
CRTAM
PIPOX
CADPS2
RLF
MTCL1
ATP1A4
ATP1A3
ATP1A2
ATP1A1
CRTAP
SPHK2
SPHK1
ADPGK
MLL
CPEB4
CPEB1
CPEB3
CPEB2
BEGAIN
SRBD1
ABAT
TP53TG5
IFT80
TP53TG1
NPY6R
POU5F1B
GRINA
KISS1R
SP3
AK127318
LOC284861
ATG4C
ATG4B
ATG4A
ATG4D
PHOX2A
PHOX2B
NLRP14
UPK2
CFH
GPT2
CFD
CFB
AL832737
CFP
OPA3
AAAS
SIDT1
SIDT2
DKFZp434F1622
SAGE1
NAALAD2
UFD1
HMG20A
HMG20B
C4orf19
SLC7A6OS
C4orf17
UNQ9392
ZFP82
AAA1
NBEAP1
NRXN3
NRXN2
NRXN1
ABCE1
ELOA
STAC3
ARPP21
MKRN2OS
MSL3P1
ATP5IF1
DPYSL4
DPYSL5
DPYSL2
DPYSL3
FLJ44881
CLK2P1
ST20-AS1
C15orf21
AK294518
RTBDN
ZNF117
ZNF114
ZNF112
SEZ6L
TMC4
TMC5
TMC6
TMC7
APIP
TMC1
TMC2
TMC3
CRYBG1
PPP6R1
TMC8
PRKAR2A
PRKAR2B
MAGT1
TMEM200B
MLF1
RSPH9
FANCF
ITGA2B
RSPH1
LOC646719
PHACTR4
NLGN2
OR2K2
PHACTR3
NUP107
KRTAP2-3
KRTAP2-2
KRTAP2-1
ASGR1
ASGR2
LOC644717
PKIB
API5
UBE2NL
HAS2
HLA-DPA1
LOC100128818
KIAA1191
ALOX12P2
VMP1
ADARB2-AS1
CT55
FP15737
C19orf25
NR1D1
NR1D2
DRD1
ITGB1BP1
PLPBP
AK095132
LOC100132287
ZAP70
SYNDIG1
HNRNPA0
OGFR
RAC2
RAC3
RAC1
VCL
VCP
CPLX3
CPLX1
LOC151121
CPLX4
VCX
VCY
PBX4
PBX2
PBX3
PBX1
AIRE
TUBG1
PRAMEF5
PRAMEF6
TUBG2
FAM71F1
PRAMEF1
PRAMEF3
PTCH2
PTCH1
PRAMEF8
TIMM44
KMT5B
KMT5C
RAD9A
KMT5A
ERGIC2
ERGIC3
ERGIC1
CLEC14A
B3GAT3
B3GAT2
B3GAT1
SRSF11
UXT
SHLD2
CALM2
CALM3
SPG21
CALM1
GSDMA
GSDMB
OR5I1
GSDMD
GSDME
UPK1B
DLGAP2
DLGAP3
DLGAP1
DLGAP4
DLGAP5
TIPRL
DKFZp434F1719
FBXL14
OIP5
CLCN3
CLCN2
CLCN1
CLCN7
CLCN6
CLCN5
CLCN4
FAM169A
INO80B-WBP1
PCDHGA1
AB231761
KIR3DS1
OR10D3
HAVCR1P1
DNAJA2
DNAJA3
DNAJA1
DNAJA4
AKT1
PTPN13
PTPN12
PTPN11
PTPN14
GALR3
GALR2
GALR1
UTRN
LYAR
SHLD1
MRPL24
MRPL27
MRPL21
MRPL20
MRPL23
MRPL22
MRPL28
C2orf81
DMRTB1
NPTX2
NPTX1
C2orf88
CHD1L
HOXA6
MZB1
TTTY17
TRAPPC6B
RNF130
RAPH1
RNF133
HLA-DQB1
RNF135
HLA-DQB2
RNF138
RNF139
GID4
FLJ44635
TRMT11
TSHZ2
TSHZ3
EIF4E1B
GID8
TRMT12
FOXS1
CDK8
LINC00622
LPAR3
F8A1
ST7-AS1
ST7-AS2
HAPLN1
FLJ40712
CAMKK2
CAMKK1
MYDGF
NPTXR
HAPLN2
MYO1H
MYO1G
MYO1F
MYO1E
MYO1D
MYO1C
MYO1B
MYO1A
GRN
CHMP3
RPL36AL
CHMP7
CHMP6
CHMP5
DENND6A
OR52N4
OR52N5
OR52N2
CTPS2
CTPS1
OR52N1
SULT6B1
LY6G6C
HOXA13
LY6G6E
HOXA11
HOXA10
CEP57
LOC441956
GALNTL5
NEMF
GALNTL6
LSM11
FER1L6-AS1
LGALS9
LGALS8
LGALS3
LGALS2
LGALS1
LGALS7
LGALS4
NMU
NMS
KRTAP11-1
TDG
LIMS1
NMB
MYO19
MYO16
TRNT1
MYO10
GOLGA2LY1
GOLGA8IP
ATG101
XIST
ENTPD5
LRRC27
LRRC26
LRRC25
LRRC24
KIAA1522
MPDU1
LRRC20
LPGAT1
LRRC29
LRRC28
GCNT4
LOC642620
GCNT1
GCNT3
GCNT2
LPCAT4
LPCAT2
LPCAT3
LPCAT1
MID1IP1
ILKAP
C20orf181
WRAP53
LOC400590
ENTPD8
TAGLN
TAX1BP1
CCDC179
ALPP
SLC20A2
