0,coef
C00001,0.0026486795
C00002,-0.01110446
C00003,0.0052280915
C00004,-0.0042360295
C00005,0.00043381233
C00006,0.012008768
C00007,-0.028530257
C00008,-0.011512077
C00009,0.0034281
C00010,0.026489599
C00011,0.012910011
C00012,-0.0125599895
C00013,-0.00934461
C00014,0.007645248
C00015,0.0001047246
C00016,9.153275e-05
C00017,0.0006134301
C00018,2.2893813e-05
C00019,-0.00012100474
C00020,-0.09524459
C00021,-9.2055605e-05
C00022,-0.065838665
C00023,0.00016488889
C00024,-0.06854385
C00025,-0.0010015353
C00026,-0.0065938155
C00027,-0.049775116
C00029,7.907792e-05
C00031,-0.062118422
C00032,0.0024053005
C00033,0.0011952986
C00034,1.3394633e-05
C00035,-0.002155206
C00036,0.009806574
C00037,-0.008131766
C00038,0.033230707
C00039,-0.023251694
C00040,0.0075857895
C00041,-0.0036328747
C00042,0.0022144618
C00043,0.00018850213
C00044,-0.0490084
C00046,0.0066740494
C00047,-0.0011523743
C00048,-0.0010904227
C00049,-0.014776287
C00051,0.0005441194
C00052,0.00018524498
C00053,0.0008741039
C00054,0.0011247507
C00055,7.16505e-05
C00058,-0.0026793496
C00059,-0.00718054
C00061,0.00027428824
C00062,-0.001189723
C00063,0.00013004047
C00064,-0.0012541743
C00065,-0.026701393
C00068,0.004990448
C00070,0.004663901
C00071,1.5439275e-05
C00072,-0.00067151134
C00073,0.0010051309
C00074,0.011516457
C00075,0.0007406177
C00076,-0.42625314
C00077,0.005368374
C00078,-0.017882854
C00079,0.005854642
C00080,0.045549367
C00081,-0.00050505507
C00082,0.009622957
C00083,-0.0031226447
C00084,0.013337916
C00085,-0.031608894
C00086,-0.00087885605
C00087,2.9134742e-05
C00088,-0.00055138563
C00089,-0.038386527
C00091,-0.005676647
C00092,-0.030287266
C00093,0.011534011
C00094,-0.00022144246
C00095,-0.0005838206
C00096,-0.00044693702
C00097,0.0028434496
C00098,0.0001363737
C00099,0.0039660796
C00100,0.00014711882
C00101,0.0006824188
C00103,-0.002731861
C00104,0.0034075663
C00105,-0.00011046103
C00106,0.0043541845
C00107,-0.00020576568
C00108,5.414238e-07
C00109,0.0030957323
C00110,-7.571617e-05
C00111,0.00025604674
C00112,0.00087857613
C00114,-0.0018256725
C00116,-0.016624158
C00117,0.0027766086
C00118,-0.030060334
C00119,0.0014506916
C00120,0.00027255176
C00121,0.00036573398
C00122,-0.04277232
C00123,0.0058982354
C00124,0.0007318676
C00127,-0.04442312
C00128,1.7730004e-05
C00129,0.0009046998
C00130,0.0025669902
C00131,0.0032800378
C00132,0.00018523203
C00133,3.7922142e-05
C00134,-0.000845783
C00135,-0.012933239
C00136,0.0010007704
C00137,-0.04694142
C00140,-3.229761e-05
C00141,0.0013498983
C00143,0.00025982308
C00144,-0.0073807053
C00146,-0.008874683
C00147,0.0027458423
C00148,-0.008240547
C00149,-0.034784816
C00151,0.00022200325
C00152,-0.004283663
C00153,-0.00025773348
C00154,-0.031425234
C00155,0.00210913
C00156,-7.036771e-05
C00157,-0.010837079
C00158,-0.020807687
C00159,-0.0006192221
C00160,-0.0012293456
C00162,-0.051845126
C00163,0.0011784787
C00164,-0.0019012655
C00165,-0.03934626
C00166,0.00034880443
C00167,-0.00064186135
C00168,0.0025584733
C00169,0.008213116
C00170,0.001373396
C00173,-8.7886605e-05
C00175,-0.00039565325
C00178,0.001765616
C00179,-0.00016921457
C00181,0.0010958601
