0,coef
hsa00010,0.028205425
hsa00020,0.0052377526
hsa00030,0.07306233
hsa00040,-0.005295734
hsa00051,0.00042017509
hsa00052,0.002603765
hsa00053,0.03926213
hsa00061,0.0030100418
hsa00062,0.0008849518
hsa00071,0.0032619608
hsa00100,0.3175344
hsa00120,0.0160649
hsa00130,-0.0009848765
hsa00140,0.10559049
hsa00190,0.0089930445
hsa00220,0.013231914
hsa00230,0.36623958
hsa00232,-1.9025661e-05
hsa00240,0.20419994
hsa00250,0.00012761264
hsa00260,0.0010434922
hsa00270,0.00047277496
hsa00280,-0.00019041977
hsa00290,0.00013301533
hsa00310,0.040900182
hsa00330,0.18602559
hsa00340,-0.0048621693
hsa00350,0.001077676
hsa00360,0.0011308196
hsa00380,0.017858531
hsa00400,-7.379457e-05
hsa00410,0.0133799035
hsa00430,0.004876162
hsa00440,0.0122178625
hsa00450,0.002914319
hsa00470,0.004780099
hsa00480,-0.00027064234
hsa00500,0.043352846
hsa00510,0.001996181
hsa00511,0.0
hsa00512,0.007748781
hsa00513,0.07693145
hsa00514,0.0
hsa00515,0.0031085967
hsa00520,-0.014647174
hsa00524,-0.00024390178
hsa00531,0.003070861
hsa00532,0.0025813242
hsa00533,0.0
hsa00534,0.003203531
hsa00561,0.03133423
hsa00562,-0.042824883
hsa00563,-3.1636144e-05
hsa00564,-0.0055756588
hsa00565,0.0094222985
hsa00590,0.013367659
hsa00591,0.006537986
hsa00592,-0.006444232
hsa00600,0.000613328
hsa00601,0.05588124
hsa00603,0.007561942
hsa00604,0.004852511
hsa00620,-0.010347411
hsa00630,0.0033537243
hsa00640,0.027427524
hsa00650,-0.009448152
hsa00670,0.0018987615
hsa00730,0.0059887697
hsa00740,-0.0015315835
hsa00750,0.008580262
hsa00760,0.03940966
hsa00770,6.4444685e-05
hsa00780,0.008961574
hsa00785,0.007021146
hsa00790,0.003921313
hsa00830,0.04977158
hsa00860,-0.02769875
hsa00900,0.075535096
hsa00910,0.0062443423
hsa00920,0.000116135154
hsa00970,0.06486769
hsa00980,0.007038533
hsa00982,0.026410459
hsa00983,-0.0050557666
hsa01040,0.0014363505
hsa01100,0.0
hsa01200,0.0
hsa01210,0.0
hsa01212,0.0
hsa01230,0.0
hsa01232,0.0
hsa01240,0.0
hsa01250,0.0
hsa01521,0.0
hsa01522,0.0
hsa01523,0.0
hsa01524,0.0
hsa02010,-0.003629554
hsa03008,0.0
hsa03010,0.0
hsa03013,0.0
hsa03015,0.0
hsa03018,0.0
hsa03020,0.0
hsa03022,0.0
hsa03030,0.0
hsa03040,0.0
hsa03050,0.0
hsa03060,0.0
hsa03250,0.0
hsa03260,0.00065902283
hsa03264,0.0023040003
hsa03265,0.0
hsa03266,0.0
hsa03267,0.0
hsa03320,-0.000630531
hsa03410,0.0
hsa03420,0.0
hsa03430,0.0
hsa03440,0.0
hsa03450,0.0
hsa03460,0.0
hsa04010,-0.01829649
hsa04012,-0.0025466096
hsa04014,0.011937188
hsa04015,-0.009268518
hsa04020,0.026040182
hsa04022,-0.0063465387
hsa04024,0.00027941712
hsa04060,0.0
hsa04061,0.0
hsa04062,0.030247647
hsa04064,0.011562618
hsa04066,-0.026941767
hsa04068,0.0076634963
hsa04070,-0.0068978122
hsa04071,-0.0015597871
hsa04072,-0.04955655
hsa04080,-0.39777622
hsa04110,0.0
hsa04114,0.0115787685
hsa04115,0.0
hsa04120,0.0
hsa04122,-7.5039265e-05
hsa04130,0.0
hsa04136,0.0034261395
hsa04137,0.0
hsa04140,0.0016143005
hsa04141,-0.002769277
hsa04142,0.0055986587
hsa04144,0.002314257
hsa04145,0.00046013162
hsa04146,0.0
hsa04150,0.008829412
hsa04151,-0.1012053
hsa04152,-0.053475745
hsa04210,0.0015370497
hsa04211,0.01325072
hsa04213,-0.0029439079
hsa04215,0.0
hsa04216,-0.018630339
hsa04217,0.07460526
hsa04218,0.05913347
hsa04260,-0.0027347198
hsa04261,0.081941344
hsa04270,0.014228956
hsa04310,0.0017982062
hsa04330,0.003808771
hsa04340,0.0037327232
hsa04350,0.0
hsa04360,-0.00016612672
hsa04370,-0.035085455
hsa04371,-0.025811698
hsa04380,-0.0029838479
hsa04390,0.0
hsa04392,0.0
hsa04510,-0.021083651
hsa04512,9.546652e-05
hsa04514,0.0
hsa04520,0.0
hsa04530,2.1795002e-05
hsa04540,0.00015234623
hsa04550,0.0
hsa04610,-0.04868561
hsa04611,0.09471185
hsa04612,0.0
hsa04613,0.003026296
hsa04614,0.032777097
hsa04620,0.0
hsa04621,0.002729635
hsa04622,-0.001066311
hsa04623,0.0018021103
hsa04625,-0.023014728
hsa04630,0.0
hsa04640,0.0
hsa04650,-0.0009973614
hsa04657,0.0
hsa04658,0.021966444
hsa04659,-0.004644011
hsa04660,0.0061251353
hsa04662,-0.01713892
hsa04664,-0.017989744
hsa04666,0.0033779119
hsa04668,0.0
hsa04670,-0.0027779855
hsa04672,-0.00036728737
hsa04710,0.0023301626
hsa04713,0.0020114428
hsa04714,-0.02362839
hsa04720,0.023799416
hsa04721,0.008861158
hsa04722,-0.011625929
hsa04723,-0.0028235693
hsa04724,-0.0014912307
hsa04725,-0.026864484
hsa04726,-0.03176593
hsa04727,0.0032661587
hsa04728,-0.008722052
hsa04730,-0.007387216
hsa04740,-0.0008885171
hsa04742,0.018415974
hsa04744,-0.0032539242
hsa04750,0.06827905
hsa04810,0.058567084
hsa04910,-0.032676656
hsa04911,0.018718949
hsa04912,-0.0015481114
hsa04913,0.00904858
hsa04914,0.010883254
hsa04915,-0.013331194
hsa04916,0.02367164
hsa04917,-0.012191988
hsa04918,-0.017807517
hsa04919,-0.035634656
hsa04920,-0.002053299
hsa04921,0.07328637
hsa04922,-0.02422935
hsa04923,-0.022697158
hsa04924,-0.009313162
hsa04925,0.0047640926
hsa04926,0.0004976891
hsa04927,0.010586778
hsa04928,-9.7025595e-06
hsa04929,-0.0013556278
hsa04930,-0.003374015
hsa04931,0.026604222
hsa04932,0.0001395998
hsa04933,0.009271808
hsa04934,-0.046853792
hsa04935,0.00044464343
hsa04936,0.09855564
hsa04940,-0.00033494466
hsa04950,0.0
hsa04960,0.0003518515
hsa04961,0.004214154
hsa04962,0.002344246
hsa04964,0.003239015
hsa04966,0.002002477
hsa04970,0.0019848603
hsa04971,0.001832363
hsa04972,-0.007962404
hsa04973,-0.0049754353
hsa04974,0.06123847
hsa04975,0.01597839
hsa04976,0.19879131
hsa04977,0.0024661894
hsa04978,0.0043263603
hsa04979,0.012969532
hsa05010,0.04750119
hsa05012,-0.0052999347
hsa05014,-0.044117913
hsa05016,0.0006209473
hsa05017,0.01443666
hsa05020,-0.0053077675
hsa05022,-0.10354988
hsa05030,0.009361173
hsa05031,0.0024076402
hsa05032,-0.005740449
hsa05033,0.00021934841
hsa05034,0.072988264
hsa05100,0.0
hsa05110,-0.0009385662
hsa05120,0.0054191076
hsa05130,-0.0034297288
hsa05131,0.15713724
hsa05132,0.10691793
hsa05133,0.012412988
hsa05134,0.0025445067
hsa05135,-0.008007911
hsa05140,0.00837587
hsa05142,-0.010610758
hsa05143,-0.0073012947
hsa05144,0.021558065
hsa05145,-0.0047572935
hsa05146,0.00013911811
hsa05150,0.00013238408
hsa05152,0.039366595
hsa05160,0.0014075659
hsa05161,7.8559584e-05
hsa05162,0.004665858
hsa05163,-0.0052748825
hsa05164,0.010442898
hsa05165,-0.006237901
hsa05166,-0.0030040748
hsa05167,-0.002891469
hsa05168,-0.006999669
hsa05169,0.021473328
hsa05170,-0.010674986
hsa05171,0.04968477
hsa05200,-0.1878613
hsa05202,0.0
hsa05203,0.0
hsa05204,0.06493042
hsa05205,-0.020098373
hsa05206,0.0
hsa05207,0.050527964
hsa05208,-0.07796968
hsa05210,-0.0032867624
hsa05211,-0.00025876917
hsa05212,0.012562763
hsa05213,8.951635e-05
hsa05214,0.004749309
hsa05215,0.0075394656
hsa05216,0.0
hsa05217,0.00040615618
hsa05218,-0.0017401302
hsa05219,0.0
hsa05220,0.005442374
hsa05221,0.016109096
hsa05222,-0.010241499
hsa05223,0.00066968583
hsa05224,-0.0026414564
hsa05225,-0.0013949991
hsa05226,0.0048450343
hsa05230,-0.001045242
hsa05231,-0.010729137
hsa05235,-0.009762683
hsa05310,0.0020650034
hsa05320,0.012802845
hsa05321,0.0
hsa05322,0.011769009
hsa05323,0.005814349
hsa05330,-0.00026611204
hsa05332,0.0001765942
hsa05340,0.0
hsa05410,-0.000112962065
hsa05412,0.0003983932
hsa05414,0.00062526774
hsa05415,-0.0056460695
hsa05416,0.0
hsa05417,-0.013502158
hsa05418,0.004970901
