,coef
UBE2Q1,0.0
RNF14,0.0
UBE2Q2,0.0
RNF10,0.0
RNF11,0.0
RNF13,0.0
REM1,0.0
REM2,0.0
RPEL1,2.0652167e-05
UCHL5,0.0
TYW3,0.0
RNF17,0.0
NBEAL1,0.0
MZT2A,0.0
MZT2B,0.0
CHMP1B,0.0001530221
PMM2,-0.0014215497
PMM1,0.001059512
ASS1,-0.0014486705
FHIT,-0.00031347416
ZNF709,-1.2002569e-05
ZNF708,0.0014358194
ZNF879,-2.8888053e-06
ZNF878,-5.636189e-05
EN1,0.0
CAMK1,0.00060413225
STYXL1,0.0
SPR,0.00035706587
ZNF700,8.330485e-06
ZNF707,0.001216969
CAMK4,-4.7899116e-06
ZNF704,0.0
ZC3H10,0.0
RNF114,0.0
RNF115,0.0
ZC3H15,0.0
ZC3H14,0.0
SPN,0.0
HMGCLL1,3.668674e-05
ZC3H18,0.0
GRIN1,-9.11926e-05
SP8,0.0
DHX9,0.0
TCOF1,0.0
NSRP1,0.0
NUP98,0.00017054759
XPC,0.0
SP1,7.986892e-06
SP2,0.0
SP3,0.0
SP4,0.0
SP5,0.0
SP6,0.0
SP7,0.0
SPPL3,0.0
GOLIM4,0.0
OPA3,0.0
OPA1,-7.229599e-07
RAB40C,0.0
RAB40B,0.0
RAB40A,0.0
KRTAP21-2,0.0
FAM162B,0.0
COL7A1,1.9196445e-05
MDP1,0.0
FAM187B,0.0
KLLN,0.0
FAM183A,0.0
OVCH2,0.0
OVCH1,0.0
PSAP,0.00011145622
SPPL2A,0.0
SPPL2C,0.0
SPPL2B,0.0
ITGA8,0.00089021487
ITGA9,0.0003175225
UGCG,0.0010854764
MYO3B,0.0
ATP2A1,0.00010877193
ATP2A2,-0.013437844
ATP2A3,-0.019887066
ITGA1,5.448517e-05
ITGA2,0.003700548
ITGA3,-0.0032827712
ITGA4,-0.0031716207
ITGA5,-0.0002447269
ITGA6,0.004314749
ITGA7,0.0011413761
TRHR,0.0020567428
DENND4A,0.0
DENND4C,0.0
ELL3,0.0
SWAP70,0.0
RARRES1,0.0
UFSP1,0.0
PHLDA3,0.0
UFSP2,0.0
GAP43,0.0
NABP1,0.0
PAMR1,0.0
