,coef
UBE2Q1,0.0
RNF14,0.0
UBE2Q2,0.0
RNF10,0.0
RNF11,0.0
RNF13,0.0
REM1,0.0
REM2,0.0
RPEL1,0.0007521293
UCHL5,0.0
TYW3,0.0
RNF17,0.0
NBEAL1,0.0
MZT2A,0.0
MZT2B,0.0
CHMP1B,-0.00011777688
PMM2,0.0005502758
PMM1,0.002315119
ASS1,0.00029162562
FHIT,-0.0017102561
ZNF709,2.5488574e-05
ZNF708,-0.00045202943
ZNF879,8.647193e-05
ZNF878,-0.00020433369
EN1,0.0
CAMK1,0.0024161115
STYXL1,0.0
SPR,-0.0009044945
ZNF700,-1.0942217e-07
ZNF707,0.002954578
CAMK4,-0.011281945
ZNF704,0.0
ZC3H10,0.0
RNF114,0.0
RNF115,0.0
ZC3H15,0.0
ZC3H14,0.0
SPN,0.0
HMGCLL1,-4.038829e-05
ZC3H18,0.0
GRIN1,0.0021624789
SP8,0.0
DHX9,0.0
TCOF1,0.0
NSRP1,0.0
NUP98,0.000196024
XPC,0.0
SP1,0.0029951893
SP2,0.0
SP3,0.0
SP4,0.0
SP5,0.0
SP6,0.0
SP7,0.0
SPPL3,0.0
GOLIM4,0.0
OPA3,0.0
OPA1,3.0885558e-06
RAB40C,0.0
RAB40B,0.0
RAB40A,0.0
KRTAP21-2,0.0
FAM162B,0.0
COL7A1,0.00012801412
MDP1,0.0
FAM187B,0.0
KLLN,0.0
FAM183A,0.0
OVCH2,0.0
OVCH1,0.0
PSAP,0.000111132154
SPPL2A,0.0
SPPL2C,0.0
SPPL2B,0.0
ITGA8,0.0028747078
ITGA9,0.00041841343
UGCG,4.7661786e-05
MYO3B,0.0
ATP2A1,0.014926805
ATP2A2,0.001919515
ATP2A3,-8.348643e-05
ITGA1,-0.0003928729
ITGA2,0.00035080666
ITGA3,0.0028230813
ITGA4,-0.0010533531
ITGA5,0.003001585
ITGA6,0.0026882982
ITGA7,0.00010357541
TRHR,0.012726253
DENND4A,0.0
DENND4C,0.0
ELL3,0.0
SWAP70,0.0
RARRES1,0.0
UFSP1,0.0
PHLDA3,0.0
UFSP2,0.0
GAP43,0.0
NABP1,0.0
PAMR1,0.0
MDK,0.0
