0,coef
hsa00010,0.013345491
hsa00020,-0.0015591145
hsa00030,-0.037523415
hsa00040,0.0034327738
hsa00051,0.0030020545
hsa00052,0.0029764923
hsa00053,0.022507511
hsa00061,-0.0017247373
hsa00062,-0.004225876
hsa00071,-0.0051929406
hsa00100,0.023968196
hsa00120,0.01727679
hsa00130,-0.0042742705
hsa00140,0.53169024
hsa00190,0.00091401825
hsa00220,0.054423235
hsa00230,1.358428
hsa00232,-0.00034418274
hsa00240,0.3331989
hsa00250,3.2426021e-06
hsa00260,-3.2704516e-08
hsa00270,0.00010748705
hsa00280,-1.1717793e-06
hsa00290,4.7361074e-05
hsa00310,-0.16098996
hsa00330,-0.0062515996
hsa00340,0.0007289531
hsa00350,-0.0030011074
hsa00360,1.49502375e-05
hsa00380,-0.019157456
hsa00400,-1.7935025e-06
hsa00410,0.014719757
hsa00430,-0.14046371
hsa00440,-0.014502419
hsa00450,0.0007357496
hsa00470,-0.001681923
hsa00480,0.004196059
hsa00500,0.0059818686
hsa00510,-0.00215264
hsa00511,0.0
hsa00512,0.002395053
hsa00513,0.043801382
hsa00514,0.0
hsa00515,-7.6224715e-06
hsa00520,0.026400778
hsa00524,4.1789415e-05
hsa00531,-0.0533206
hsa00532,0.0002889773
hsa00533,0.0
hsa00534,0.008286847
hsa00561,-0.011140954
hsa00562,-0.021648327
hsa00563,0.03979845
hsa00564,0.18864836
hsa00565,-0.0014049981
hsa00590,-0.000626702
hsa00591,-0.021602951
hsa00592,-0.0010586312
hsa00600,-0.00901743
hsa00601,-0.033957694
hsa00603,-0.00020950535
hsa00604,0.0023952783
hsa00620,-0.014550429
hsa00630,0.033277858
hsa00640,-0.0017220638
hsa00650,0.00031188448
hsa00670,0.00023954516
hsa00730,-0.0009812757
hsa00740,0.00037216977
hsa00750,-0.00058106246
hsa00760,0.0067701694
hsa00770,-0.0034940995
hsa00780,-6.371929e-05
hsa00785,9.103067e-05
hsa00790,0.03073556
hsa00830,-0.00016395983
hsa00860,0.01826482
hsa00900,0.0024129045
hsa00910,-0.0048045004
hsa00920,4.8648e-05
hsa00970,-0.06026751
hsa00980,-0.1647461
hsa00982,-0.004492778
hsa00983,0.06427041
hsa01040,-0.00080325024
hsa01100,0.0
hsa01200,0.0
hsa01210,0.0
hsa01212,0.0
hsa01230,0.0
hsa01232,0.0
hsa01240,0.0
hsa01250,0.0
hsa01521,0.0
hsa01522,0.0
hsa01523,0.0
hsa01524,0.0
hsa02010,-0.005503344
hsa03008,0.0
hsa03010,0.0
hsa03013,0.0
hsa03015,0.0
hsa03018,0.0
hsa03020,0.0
hsa03022,0.0
hsa03030,0.0
hsa03040,0.0
hsa03050,0.0
hsa03060,0.0
hsa03250,0.0
hsa03260,-0.00023558519
hsa03264,-0.0005404939
hsa03265,0.0
hsa03266,0.0
hsa03267,0.0
hsa03320,-0.00029638188
hsa03410,0.0
hsa03420,0.0
hsa03430,0.0
hsa03440,0.0
hsa03450,0.0
hsa03460,0.0
hsa04010,0.009501016
hsa04012,-0.008609024
hsa04014,-0.08641614
hsa04015,0.0022095959
hsa04020,0.17278935
hsa04022,0.04912858
hsa04024,-0.0037269301
hsa04060,0.0
hsa04061,0.0
hsa04062,3.118653e-05
hsa04064,-0.0046176054
hsa04066,-0.030670185
hsa04068,0.04312782
hsa04070,-0.032424983
hsa04071,0.027183639
hsa04072,-0.0081282575
hsa04080,-0.47715724
hsa04110,0.0
hsa04114,-0.00023993928
hsa04115,0.0
hsa04120,0.0
hsa04122,0.002369394
hsa04130,0.0
hsa04136,-0.00053167035
hsa04137,0.0
hsa04140,-0.017882297
hsa04141,-0.014039809
hsa04142,0.000311662
hsa04144,0.02299624
hsa04145,0.0002616529
hsa04146,0.0
hsa04150,-0.013580047
hsa04151,0.009470503
hsa04152,-0.012996479
hsa04210,-0.0014919031
hsa04211,0.022444457
hsa04213,-0.007852517
hsa04215,0.0
hsa04216,0.297884
hsa04217,-0.0040796045
hsa04218,0.09873869
hsa04260,-0.0011210466
hsa04261,-0.028835021
hsa04270,0.16423404
hsa04310,0.04693223
hsa04330,1.890974e-05
hsa04340,0.0014681838
hsa04350,0.0
hsa04360,-0.023878448
hsa04370,-0.0020617882
hsa04371,-0.026164126
hsa04380,-0.012654199
hsa04390,0.0
hsa04392,0.0
hsa04510,-0.031395063
hsa04512,0.004313027
hsa04514,0.0
hsa04520,0.0
hsa04530,0.002971133
hsa04540,0.017742863
hsa04550,0.0
hsa04610,-0.34230185
hsa04611,-0.035862427
hsa04612,0.0
hsa04613,-0.025349222
hsa04614,0.002705739
hsa04620,0.0
hsa04621,-0.011976162
hsa04622,-0.022188842
hsa04623,-0.006939716
hsa04625,-0.00030354096
hsa04630,0.0
hsa04640,0.0
hsa04650,-0.0035073415
hsa04657,0.0
hsa04658,-0.0019013252
hsa04659,-0.00223223
hsa04660,-0.005143606
hsa04662,-0.032571763
hsa04664,0.009261076
hsa04666,-0.17144708
hsa04668,0.0
hsa04670,-0.013377723
hsa04672,0.011377132
hsa04710,-0.003990663
hsa04713,0.028981375
hsa04714,0.09535594
hsa04720,0.032478448
hsa04721,0.0034715661
hsa04722,0.047201905
hsa04723,0.01097606
hsa04724,-0.0049050623
hsa04725,-9.0110174e-05
hsa04726,0.302759
hsa04727,0.0024338644
hsa04728,-1.989262e-05
hsa04730,0.0026157282
hsa04740,-0.12201182
hsa04742,0.027973086
hsa04744,-0.0072739418
hsa04750,-0.0012836739
hsa04810,0.007695129
hsa04910,-0.002118637
hsa04911,0.06982101
hsa04912,0.0077135623
hsa04913,0.014277416
hsa04914,0.0018645196
hsa04915,0.0015104156
hsa04916,0.0036776278
hsa04917,-0.009023263
hsa04918,0.035536945
hsa04919,0.1446095
hsa04920,0.009247582
hsa04921,-0.026312843
hsa04922,0.015230503
hsa04923,-0.05813462
hsa04924,-0.007539648
hsa04925,0.06956504
hsa04926,0.0048499284
hsa04927,0.016680561
hsa04928,-2.9006256e-05
hsa04929,0.0007059874
hsa04930,-0.013689552
hsa04931,-0.06026381
hsa04932,-0.029632246
hsa04933,-0.024025856
hsa04934,-0.010219816
hsa04935,-2.567659e-05
hsa04936,0.024129609
hsa04940,-0.005045554
hsa04950,0.0
hsa04960,-0.018193476
hsa04961,-0.0071135755
hsa04962,0.00042327336
hsa04964,0.001230782
hsa04966,7.307511e-05
hsa04970,0.008058227
hsa04971,-0.04744208
hsa04972,0.14205085
hsa04973,-0.11847472
hsa04974,1.2562907
hsa04975,-0.000693869
hsa04976,0.21337302
hsa04977,0.004169362
hsa04978,0.17241585
hsa04979,0.007954326
hsa05010,0.13695675
hsa05012,0.12335815
hsa05014,0.12501034
hsa05016,0.0042092404
hsa05017,-0.010159582
hsa05020,-0.036900394
hsa05022,-0.08980337
hsa05030,0.00036724293
hsa05031,0.002975512
hsa05032,0.040584285
hsa05033,0.004950223
hsa05034,-0.00080601964
hsa05100,0.0
hsa05110,-0.024292864
hsa05120,0.09563338
hsa05130,0.0012045646
hsa05131,0.03452426
hsa05132,0.06591701
hsa05133,-0.0046578464
hsa05134,-0.0017020089
hsa05135,-0.14859544
hsa05140,-0.015736612
hsa05142,-0.043351296
hsa05143,0.007835694
hsa05144,0.0015668109
hsa05145,-0.023425993
hsa05146,-0.017986292
hsa05150,6.2001263e-06
hsa05152,0.0011680919
hsa05160,0.020088833
hsa05161,0.010676791
hsa05162,0.01527021
hsa05163,0.019308075
hsa05164,-0.027625343
hsa05165,0.08630039
hsa05166,-0.007709791
hsa05167,0.013279555
hsa05168,0.0015158963
hsa05169,0.016643748
hsa05170,-0.056067456
hsa05171,-0.011185587
hsa05200,0.34745914
hsa05202,0.0
hsa05203,0.0
hsa05204,0.008665416
hsa05205,0.11893358
hsa05206,0.0
hsa05207,0.049882434
hsa05208,-0.2147726
hsa05210,0.0030765955
hsa05211,-0.013759473
hsa05212,0.01653315
hsa05213,-0.0067758122
hsa05214,0.02943515
hsa05215,0.16898668
hsa05216,0.0
hsa05217,0.0021897007
hsa05218,-0.0069356044
hsa05219,0.0
hsa05220,0.000943075
hsa05221,5.9859613e-05
hsa05222,0.0040182937
hsa05223,0.04794052
hsa05224,0.037516903
hsa05225,0.008892787
hsa05226,0.06975187
hsa05230,0.34975478
hsa05231,-0.017008495
hsa05235,-0.05511819
hsa05310,0.0025473624
hsa05320,0.00019540495
hsa05321,0.0
hsa05322,-0.011684724
hsa05323,0.05130105
hsa05330,4.552678e-05
hsa05332,0.0010320566
hsa05340,0.0
hsa05410,-0.0044197207
hsa05412,-0.018239483
hsa05414,-0.003291215
hsa05415,-0.00056681555
hsa05416,0.0
hsa05417,-0.050127517
hsa05418,-0.049946982
