,coef
CNPY2,0.0
CNPY1,0.0
PLCZ1,0.001364778
SYNJ1,-0.0014115141
KNDC1,0.0
HMG20A,0.0
HMG20B,0.0
PHOSPHO2,-0.000101215664
C4orf19,0.0
SLC7A6OS,0.0
C4orf17,0.0
C3orf70,0.0
CEP70,0.0
SHOX2,0.0
ZFP82,-0.00032528746
CHFR,0.0
SMDT1,0.0
TIGD1,0.0
SYPL2,0.0
RFX8,0.0
RFX4,0.0
RFX5,0.00029077957
RFX6,0.0
RFX7,0.0
NRXN3,0.0
NRXN2,0.0
NRXN1,0.0
RFX3,0.0
YDJC,0.0
TIGD2,0.0
VPS37D,-3.8255534e-05
NLRP13,0.0
APC,-0.001704785
TMEM179B,0.0
ABCE1,0.0
UQCRC2,-0.002189313
XPNPEP1,0.0
XPNPEP2,0.00041404014
UQCRC1,0.00020296403
GTSE1,0.0
PAPLN,0.0
ADNP,0.0
ZNF57,-1.4850773e-05
KHDRBS1,0.0
KHDRBS3,0.0
KHDRBS2,0.0
NLRP12,6.9630764e-06
BAK1,-0.0039959867
ZNF395,0.0
ZNHIT6,0.0
LHCGR,-0.0018050645
ARPP21,0.0
OR1Q1,-2.3378336e-06
FLT3,-0.004052118
VPS37B,-3.6422116e-05
LRFN2,0.0
MIB2,2.8716584e-06
ZNF578,-1.6978942e-05
DPYSL4,0.0
DPYSL5,-9.787687e-06
DPYSL2,-6.747738e-06
DPYSL3,0.0
OR4D9,-3.5286744e-06
KRTAP10-12,0.0
KRTAP10-11,0.0
MRGPRE,0.0
IGFBP2,0.0
IGFBP3,0.0023612317
IGFBP1,0.0
IGFBP6,0.0
MRGPRF,0.0
IGFBP4,0.0
IGFBP5,0.0
SKP2,-0.00065246434
P2RX4,4.2708334e-06
CYP2R1,0.008707497
GJA1,-1.0593902e-05
GJA3,0.0
APLNR,0.0007454984
GJA5,0.0
GJA8,0.0
CYP8B1,8.884761e-05
CD99,4.905384e-05
STMN1,8.241629e-05
AK7,-0.001141367
S1PR2,-0.0027830487
KDM3B,-3.6343838e-05
ZNF117,0.0
ZNF114,5.39999e-06
KDM3A,6.895698e-07
ZNF112,-4.855773e-07
SEZ6L,0.0
PPP6R3,0.0
TMC4,0.0
TMC5,0.0
TMC6,0.0
TMC7,0.0
APIP,0.0004163969
TMC1,0.0
TMC2,0.0
TMC3,0.0
PROP1,0.0
EIF2B4,-1.744087e-05
EIF2B5,5.8626206e-06
TMC8,0.0
EIF2B3,-3.8260292e-05
EIF2B1,0.00026189623
PRKAR2A,-2.2843149e-05
PRKAR2B,1.093561e-06
MAGT1,0.0
TXNIP,2.839775e-05
TMEM200B,0.0
MLF1,0.0
QPRT,0.0006898412
IFT140,0.0
RSPH9,0.0
TMEM14C,0.0
TMEM14B,0.0
TMEM14A,0.0
FANCF,0.0
MECOM,-0.00088030676
ITGA2B,-0.0007955623
RSPH1,0.0
IFI16,-5.5399334e-05
ZNF396,0.0
LURAP1,0.0
TPBGL,0.0
MYT1L,0.0
CFHR2,-0.0010688507
PHACTR4,0.0
CLIC4,0.0
CFHR1,-0.0049203485
PHACTR1,0.0
OR2K2,-1.5249435e-06
PHACTR3,0.0
NUP107,0.00048453262
KRTAP2-3,0.0
KRTAP2-1,0.0
STMN2,0.0
RIT2,0.0
TMEM147,0.0
ASGR1,-0.0031641584
ASGR2,0.0001331934
TMEM144,0.0
FOXL2,0.0
RIT1,0.0
TMEM141,0.0
TMEM140,0.0
API5,0.0
CDK1,0.00035504092
PRDM8,0.0
UBE2NL,0.0015058862
RNF180,0.0
SOWAHA,0.0
SOWAHB,0.0
SOWAHC,0.0
SOWAHD,0.0
HAS2,0.0
HLA-DPA1,0.019029386
KIAA1191,0.0
VMP1,8.9805445e-07
FER1L5,0.0
CT55,0.0
RNF183,0.0
ZMAT1,0.0
ZMAT3,0.0
ZMAT2,0.0
ZMAT5,0.0
C19orf25,0.0
NR1D1,-3.8859736e-05
NR1D2,-3.6306546e-06
CASP9,-0.023320686
ITGB1BP1,0.0
ITGB1BP2,0.0
ZNF7,0.0056926813
ZNF2,-0.00046305178
ZNF3,-0.00010320375
CTCFL,0.0
PHLDA1,0.0
ZNF8,-0.00012253677
PCP4L1,0.0
C11orf16,0.0
ZAP70,0.0022633036
PHLDA2,0.0
SYNDIG1,0.0
OGFR,0.0
CDC5L,0.0
RAC2,0.00018358557
RAC3,0.02269237
RAC1,-0.026536971
SBDS,0.0
VCL,1.2974429e-05
CPLX2,-0.00012553035
CPLX3,4.278881e-05
CPLX1,0.00057022844
AP2A1,-0.0005958419
CPLX4,-0.00025953067
AP2A2,0.00090251036
VCX,0.0
NIM1K,0.0
PBX4,0.0
MRPS18C,0.0
PBX2,0.0
PBX3,0.0
PBX1,-0.00056950643
SYT14,0.0
AIRE,0.0
BNIP3L,0.0
NSUN3,0.0
NSUN2,0.0
