,,coef
SP5,mut_important,0.0
SP5,cnv_del,0.0
SP5,cnv_amp,0.0
SP5,promoter,0.0
SP6,mut_important,0.0
SP6,cnv_del,0.0
SP6,cnv_amp,0.0
SP6,promoter,0.0
SP7,mut_important,0.0
SP7,cnv_del,0.0
SP7,cnv_amp,0.0
SP7,promoter,0.0
SPPL3,mut_important,0.0
SPPL3,cnv_del,0.0
SPPL3,cnv_amp,0.0
SPPL3,promoter,0.0
GOLIM4,mut_important,0.0
GOLIM4,cnv_del,0.0
GOLIM4,cnv_amp,0.0
GOLIM4,promoter,0.0
OPA3,mut_important,0.0
OPA3,cnv_del,0.0
OPA3,cnv_amp,0.0
OPA3,promoter,0.0
OPA1,mut_important,0.0
OPA1,cnv_del,0.0
OPA1,cnv_amp,4.128898e-08
OPA1,promoter,1.591474e-07
RAB40C,mut_important,0.0
RAB40C,cnv_del,0.0
RAB40C,cnv_amp,0.0
RAB40C,promoter,0.0
RAB40B,mut_important,0.0
RAB40B,cnv_del,0.0
RAB40B,cnv_amp,0.0
RAB40B,promoter,0.0
RAB40A,mut_important,0.0
RAB40A,cnv_del,0.0
RAB40A,cnv_amp,0.0
RAB40A,promoter,0.0
KRTAP21-2,mut_important,0.0
KRTAP21-2,cnv_del,0.0
KRTAP21-2,cnv_amp,0.0
KRTAP21-2,promoter,0.0
FAM162B,mut_important,0.0
FAM162B,cnv_del,0.0
FAM162B,cnv_amp,0.0
FAM162B,promoter,0.0
COL7A1,mut_important,0.0
COL7A1,cnv_del,7.5385906e-05
COL7A1,cnv_amp,0.0
COL7A1,promoter,0.0
MDP1,mut_important,0.0
MDP1,cnv_del,0.0
MDP1,cnv_amp,0.0
MDP1,promoter,0.0
FAM187B,mut_important,0.0
FAM187B,cnv_del,0.0
FAM187B,cnv_amp,0.0
FAM187B,promoter,0.0
KLLN,mut_important,0.0
KLLN,cnv_del,0.0
KLLN,cnv_amp,0.0
KLLN,promoter,0.0
FAM183A,mut_important,0.0
FAM183A,cnv_del,0.0
FAM183A,cnv_amp,0.0
FAM183A,promoter,0.0
OVCH2,mut_important,0.0
OVCH2,cnv_del,0.0
OVCH2,cnv_amp,0.0
OVCH2,promoter,0.0
OVCH1,mut_important,0.0
OVCH1,cnv_del,0.0
OVCH1,cnv_amp,0.0
OVCH1,promoter,0.0
PSAP,mut_important,0.0
PSAP,cnv_del,0.0
PSAP,cnv_amp,-9.670053e-06
PSAP,promoter,-3.1759666e-06
SPPL2A,mut_important,0.0
SPPL2A,cnv_del,0.0
SPPL2A,cnv_amp,0.0
SPPL2A,promoter,0.0
SPPL2C,mut_important,0.0
SPPL2C,cnv_del,0.0
SPPL2C,cnv_amp,0.0
SPPL2C,promoter,0.0
SPPL2B,mut_important,0.0
SPPL2B,cnv_del,0.0
SPPL2B,cnv_amp,0.0
SPPL2B,promoter,0.0
ITGA8,mut_important,0.0
ITGA8,cnv_del,0.0
ITGA8,cnv_amp,0.00404225
ITGA8,promoter,0.0
ITGA9,mut_important,0.0
ITGA9,cnv_del,0.0
ITGA9,cnv_amp,0.0
ITGA9,promoter,1.1841956e-05
UGCG,mut_important,0.0
UGCG,cnv_del,0.0
UGCG,cnv_amp,1.4334838e-06
UGCG,promoter,-1.8962321e-06
MYO3B,mut_important,0.0
MYO3B,cnv_del,0.0
MYO3B,cnv_amp,0.0
MYO3B,promoter,0.0
ATP2A1,mut_important,0.0
ATP2A1,cnv_del,0.0
ATP2A1,cnv_amp,-0.0038961114
ATP2A1,promoter,-2.678559e-05
ATP2A2,mut_important,0.0
ATP2A2,cnv_del,0.0
ATP2A2,cnv_amp,0.0
ATP2A2,promoter,-0.000162204
ATP2A3,mut_important,0.0
ATP2A3,cnv_del,0.0
ATP2A3,cnv_amp,0.0
ATP2A3,promoter,1.0051003e-05
ITGA1,mut_important,0.0
ITGA1,cnv_del,0.00013032138
ITGA1,cnv_amp,0.0002256805
ITGA1,promoter,-0.00069351954
ITGA2,mut_important,0.0
ITGA2,cnv_del,-2.731239e-05
ITGA2,cnv_amp,2.514671e-05
ITGA2,promoter,2.8600156e-05
ITGA3,mut_important,0.0
ITGA3,cnv_del,0.0
ITGA3,cnv_amp,-0.000966162
ITGA3,promoter,0.0002273518
ITGA4,mut_important,0.0
ITGA4,cnv_del,0.0
ITGA4,cnv_amp,0.0
ITGA4,promoter,-0.019339567
ITGA5,mut_important,0.0
ITGA5,cnv_del,0.0
ITGA5,cnv_amp,5.1121995e-05
ITGA5,promoter,0.00034331903
ITGA6,mut_important,0.0
ITGA6,cnv_del,0.0
ITGA6,cnv_amp,0.0
ITGA6,promoter,-1.4626768e-06
ITGA7,mut_important,0.0
ITGA7,cnv_del,0.0
ITGA7,cnv_amp,7.8571094e-07
ITGA7,promoter,-8.325883e-06
TRHR,mut_important,0.0
TRHR,cnv_del,0.0
TRHR,cnv_amp,0.010206281
TRHR,promoter,0.0
DENND4A,mut_important,0.0
DENND4A,cnv_del,0.0
DENND4A,cnv_amp,0.0
DENND4A,promoter,0.0
DENND4C,mut_important,0.0
DENND4C,cnv_del,0.0
DENND4C,cnv_amp,0.0
DENND4C,promoter,0.0
ELL3,mut_important,0.0
ELL3,cnv_del,0.0
ELL3,cnv_amp,0.0
ELL3,promoter,0.0
SWAP70,mut_important,0.0
SWAP70,cnv_del,0.0
SWAP70,cnv_amp,0.0
SWAP70,promoter,0.0
RARRES1,mut_important,0.0
RARRES1,cnv_del,0.0
RARRES1,cnv_amp,0.0
